pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
brazil_72_76,1,brazil,0.48109186,0.024970949,-0.14269935,-0.26673847,0.59567434,-0.0021783486,-0.33378714,-0.50048256,-0.39356706,-0.4588529,-0.2980578,-0.48607948,-0.22313806,-0.29926792,0.13165355,0.5614124,0.5128638,-0.492115,-0.16122557,0.5524085,-0.23236984,-0.44027078,0.16044453,-0.40181732,-0.36147636,0.46968994,0.53090656,-0.1958221,0.01419156,0.4844968,-0.40957078,-0.1481766,0.3274804,-0.22306865,0.20322114,-0.06889199,-0.34771237,0.22927053,-0.33165133,0.42682886,0.30984557,0.055113256,-0.13794939,-0.52985096,-0.12846099,0.19104743,-0.5330989,-0.28076324,-0.107510105,-0.15276927,0.34600675,-0.5121057,0.41114855,-0.10700148,-0.49852952,-0.47695312,0.5727042,-0.30144003,-0.26014894,-0.5312098,0.5982363,0.5746547,-0.44464776,-0.49220642
brazil_50_76,0,brazil,0.33902654,0.020262845,-0.3134616,-0.41290453,0.46270806,-0.0690289,-0.19199939,-0.44361633,-0.51288486,-0.082541965,-0.18630993,-0.21685158,-0.100774325,-0.40631703,0.5753676,0.37171617,0.3323179,-0.37556577,0.69445014,0.5140855,-0.1910271,-0.6453153,0.26398945,-0.40796682,-0.45261297,0.49982783,0.4531394,-0.65127254,-0.22492851,0.41034797,-0.045942795,-0.5562162,0.48549,-0.1492992,0.5954792,0.0205089,-0.21103793,0.34917635,-0.058830444,0.10408194,0.16304985,-0.33413643,-0.2881104,-0.17109811,-0.33796746,0.4794082,-0.49668542,-0.16734117,-0.23258738,-0.31102178,0.3381607,-0.37248734,0.30621395,-0.4027357,-0.4811623,-0.4461173,0.2614953,-0.29116198,-0.36894292,-0.279571,0.3420231,0.2291242,-0.432233,-0.3276359
brazil_75_76,1,brazil,1.0956789,0.3011035,-0.46742752,-0.6018914,0.7967538,-0.385639,-0.92477983,-0.8919875,-1.0715665,-1.0189427,-0.86160994,-0.9009979,-0.7282245,-0.55284935,0.6942605,0.70996237,0.8451774,-0.74053615,0.6678175,0.93259215,-0.29138047,-0.6971879,0.37754107,-0.9040511,-0.81282574,0.8167389,1.0997016,-0.7791642,-0.20650306,1.0176278,-0.70166636,-0.719562,0.6028028,-0.435592,0.6476053,-0.49426135,-0.9026602,0.6904883,-0.47811955,0.8261402,0.5452412,-0.3408246,-0.5572715,-0.8693402,-0.48703673,0.5034811,-0.83258474,-0.5944324,-0.26843363,-0.53836775,0.55695647,-0.95761347,0.79521143,-0.5009113,-0.97058254,-1.0027893,0.9761721,-0.6232626,-0.7514987,-1.0862252,0.7152738,1.1318717,-0.7828611,-0.9817209
brazil_76_78,1,brazil,-0.13691139,-0.43173438,-0.041036,-0.056927685,0.016282648,0.16007853,0.17307396,0.12734228,-0.2636309,0.07192524,-0.102002256,-0.0036937818,0.08854244,-0.02745898,0.26259565,0.056298897,-0.09609895,-0.100533575,0.13861483,0.5281692,0.1673668,-0.2976203,0.047157817,0.07393741,-0.19142076,0.07168136,0.2923425,-0.42061272,0.025640056,-0.18031946,0.3207906,-0.07584237,-0.037980698,0.07629816,0.09726243,0.27107173,-0.053299483,-0.070381,0.22148898,-0.21340714,-0.13539124,0.047835022,0.03467107,0.18677646,0.078963,-0.078656934,-0.03220684,0.1869874,0.17107369,0.059297703,-0.24981181,-0.14447096,0.029412434,-0.039810047,-0.10396197,-0.00096191466,-0.0648943,0.042822666,-0.012769178,-0.008783899,0.13184425,-0.07294732,0.04489778,0.03608734
brazil_76_80,1,brazil,0.75725615,0.49059805,-0.85811967,-0.82850015,0.84207225,-0.08321558,-0.7229913,-0.89355445,-1.2104204,-1.0461746,-0.727497,-0.8523817,-0.8632378,-0.45708007,0.7598883,1.0310189,0.8988119,-0.9714464,0.82580495,1.2232006,-0.42003703,-1.2671467,0.59214336,-0.8813187,-0.9209012,0.78301674,1.1196634,-1.0740584,-0.68305147,0.9305204,-0.96027875,-1.2091522,0.9013321,-0.84670156,0.80250514,-0.5078671,-0.8718699,0.9616318,-0.73742354,0.78976506,0.72327864,-0.56846255,-0.87906116,-0.9314648,-0.63199997,0.83262765,-1.0707357,-0.7327567,-0.2359973,-0.7514655,0.86426723,-1.1109746,0.7903271,-0.6765306,-0.94719243,-0.7547034,1.1311207,-0.8823337,-0.8566373,-0.8739852,0.90647364,0.88698465,-0.99015963,-1.0772142
brazil_72_78,1,brazil,0.56129414,0.1374473,0.25503916,-0.17065684,0.5003188,-0.119318,-0.37243712,-0.4732297,-0.5614674,-0.16794272,-0.10759592,-0.26486552,0.026014194,-0.14381531,0.12425649,0.31753424,0.5205212,-0.400458,-0.08129497,0.10268902,-0.061442953,-0.3756148,-0.04963407,-0.39265865,-0.3258092,0.4273782,0.5489323,-0.08581144,0.09723154,0.46680045,-0.15542838,-0.10098799,0.24261525,-0.18550593,0.37448826,0.1954084,-0.5005294,0.0005067587,0.09269739,0.23808102,-0.09274261,-0.033072166,-0.054161187,-0.36778325,-0.15500516,-0.020672813,-0.42031798,-0.1936978,-0.20914456,0.039437182,0.10587959,-0.52218056,0.34640184,-0.05066873,-0.526885,-0.34534606,0.19333163,-0.058275912,-0.29924697,-0.36583394,0.42520234,0.29995874,-0.50398034,-0.13374902
brazil_50_53,0,brazil,0.9072734,0.6833554,-0.41443872,-0.84291875,0.9852857,-0.55068415,-0.89254874,-1.1869357,-1.1565487,-1.0810908,-0.6859286,-0.8525883,-0.69689465,-0.5736612,0.58416146,0.7238857,0.9016677,-0.83557695,0.35155532,0.80862033,-0.42791173,-0.8319545,0.5012686,-0.9716075,-0.84520644,0.87591153,1.2252876,-0.63804394,-0.5350099,0.9550308,-0.57977134,-1.0177784,0.5245165,-0.6264838,0.89802444,-0.6559553,-1.2059894,0.7722356,-0.7194034,0.79140025,0.5753038,-0.33843997,-0.6496794,-0.69690925,-0.48388547,0.48728517,-0.83363426,-0.75410247,-0.7759218,-0.4439325,0.7050835,-1.063378,0.9289924,-0.6311785,-1.0436227,-0.8289632,0.7703551,-0.90263593,-0.7935727,-0.98570013,0.72490466,0.92151874,-0.9964262,-0.87191457
brazil_50_78,0,brazil,-0.01639264,-0.14533311,0.23116663,-0.009148672,0.14959028,-0.03956985,0.10655795,0.123406194,0.19254348,0.19210829,0.05627866,-0.13655846,0.14131778,-0.03271155,0.0021147504,0.094871804,-0.098574884,-0.18057957,-0.15726097,-0.10779236,-0.019566916,-0.01581771,-0.102683604,0.047848664,-0.09973975,-0.27244273,-0.13071719,0.14024338,0.22696167,0.09614152,0.09543327,0.10325541,-0.015737213,0.15055397,0.07901194,-0.025903992,-0.20757376,0.06286539,0.3919662,-0.09117307,-0.097330034,0.14598459,0.24366847,-0.072659634,-0.01229731,-0.06445541,-0.067724206,0.08260981,0.21112509,0.1518831,0.06396741,-0.06376222,0.056115992,0.12457901,-0.20679438,0.118942484,-0.000616543,0.17804778,0.013278671,-0.105223715,0.05968837,0.18670654,0.3340974,-0.09819741
brazil_78_80,1,brazil,1.029748,0.72843254,-0.8791966,-0.9589422,1.0171549,-0.2798983,-1.2922366,-1.1246943,-1.092676,-1.2977604,-0.82179654,-1.3844247,-1.0703672,-0.60079074,0.72878927,1.2425311,1.1555088,-1.240266,0.46171886,1.1265725,-0.8029449,-1.0288751,0.61933464,-1.1295761,-0.9302893,0.9690848,0.8904015,-1.0534745,-0.6242348,1.4124426,-1.1689981,-1.0473638,0.9466324,-0.7887787,0.9990277,-0.7993919,-1.021364,1.103813,-0.83322966,1.1628554,1.0706335,-0.31682447,-0.79707485,-0.9927731,-0.634503,0.8129741,-1.3272814,-1.0820566,-0.32051715,-0.7497306,1.0151285,-1.3277295,0.957068,-0.65198356,-1.1948901,-0.84933656,1.4596364,-1.0120484,-0.82257986,-1.318391,1.1060884,1.4089936,-0.877285,-1.4085315
brazil_17_79,0,brazil,0.15393566,-0.0065876916,-0.6394818,-0.46486712,0.24089861,-0.28154594,-0.21459463,-0.45083708,-0.8298632,-0.61426777,-0.5558343,-0.57998574,-0.80203253,-0.39717576,0.7390996,0.6218303,0.4463412,-0.74340224,0.86717105,1.215389,-0.16625789,-0.830514,0.48265064,-0.5559634,-0.5022421,0.4709262,0.5444852,-1.0690745,-0.63009477,0.20536509,-0.36682087,-0.8798971,0.5022569,-0.24868658,0.47754255,-0.34229743,-0.63611263,0.5236559,-0.27002013,0.1548269,0.45707273,-0.41364384,-0.55153346,-0.3690427,-0.3454363,0.6889916,-0.38151017,-0.3409494,-0.071738176,-0.49738,0.46814632,-0.5246833,0.469034,-0.59001684,-0.42608654,-0.4593708,0.7409477,-0.815596,-0.21747015,-0.29999718,0.4256252,0.21369296,-0.2857107,-0.6172993
