pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
usa_21_47,0,usa,0.7977272,0.2514773,-0.2341435,-0.40333214,0.692372,-0.034574218,-0.7036062,-0.72912246,-0.7457956,-0.5623394,-0.27711147,-0.50293267,-0.20224866,-0.20661712,0.21396893,0.464132,0.66172546,-0.48582864,0.22609647,0.55365986,-0.20557624,-0.44515172,-0.018422484,-0.6863951,-0.35350046,0.59361506,0.8477043,-0.36656338,-0.08466939,0.89788675,-0.49695933,-0.29382312,0.47361243,-0.38384634,0.28757828,-0.22217512,-0.6474475,0.34600383,-0.26742208,0.52734303,0.06443398,-0.021044433,-0.32708538,-0.63814765,-0.1966232,-0.014806375,-0.66206336,-0.56246585,-0.13303441,-0.1831113,0.4548006,-0.9145768,0.5648408,-0.46303013,-0.73539853,-0.57636863,0.5062579,-0.2548459,-0.44530722,-0.72896343,0.50962406,0.7190795,-0.6468768,-0.7915058
usa_26_47,0,usa,0.9034654,0.40845793,-0.30934075,-0.524232,0.6337271,0.12410557,-0.82690907,-0.81478745,-0.70821756,-0.6893705,-0.57258743,-0.5081701,-0.3574376,-0.15114942,0.24708839,0.5482959,0.53974146,-0.64940876,0.32011575,0.54303175,-0.34669864,-0.34666604,0.25289512,-0.735954,-0.43979174,0.56325173,0.8573986,-0.48051578,-0.19025485,0.96000206,-0.75920206,-0.566608,0.54877955,-0.45412362,0.43488082,-0.19224553,-0.76278394,0.48959613,-0.45036694,0.70133305,0.24802284,-0.13880853,-0.42837337,-0.58559674,-0.28088033,0.090616785,-0.6730541,-0.78249776,-0.1180545,-0.12168076,0.5010605,-0.93948436,0.518598,-0.45453587,-0.6215064,-0.68171185,0.551957,-0.47968906,-0.60450965,-0.7311508,0.5488559,0.70354927,-0.61279833,-0.76952857
usa_47_49,0,usa,0.40586662,-0.02573616,0.26644522,-0.11494509,0.35917878,0.011054337,-0.25403136,-0.27812988,-0.37410975,0.14095703,0.07508476,-0.029027835,0.22758347,0.093538426,-0.07008894,0.17405248,0.27712977,-0.19229546,0.23865935,0.19957939,0.19944549,-0.20885086,-0.28299725,-0.39716458,-0.08559336,0.29347253,0.5697193,-0.04007239,0.19889113,0.4616532,0.06903344,-0.05932389,-0.0053987578,-0.03958883,0.09604647,0.42784435,-0.5189443,-0.20430504,0.266422,-0.03162548,-0.3901652,0.20869724,-0.030163433,-0.33696824,-0.059377663,-0.34864378,-0.28191292,-0.121482775,0.018271573,0.26758698,0.02044703,-0.43896285,0.22886193,-0.09770319,-0.43851015,-0.3164518,0.029093694,0.055530347,-0.17513487,-0.46712184,0.34703887,0.22378494,-0.28834885,-0.042066287
usa_47_104,0,usa,0.9278985,0.576644,-0.74673826,-0.75422764,0.83419573,0.14055619,-1.0494285,-0.81744605,-1.064086,-1.3241035,-0.7920934,-0.9485079,-0.6887493,-0.24200511,0.5171401,0.8335232,0.82640475,-0.90983725,0.62700784,1.1334078,-0.569188,-0.82365555,0.3160805,-0.9123792,-0.61068875,0.9296726,1.0557425,-0.54844606,-0.55972636,1.2023896,-0.978381,-0.7105041,0.8261636,-0.6803953,0.5797498,-0.59801626,-0.7277331,0.8438967,-0.76076746,1.045411,0.6027034,0.06747173,-0.6266749,-0.76455456,-0.30379358,0.2125408,-0.8091928,-0.946146,-0.16182601,-0.42153078,0.6944375,-0.95826215,0.74093467,-0.6505437,-0.9705383,-0.80457395,0.7541704,-0.8733244,-0.62628156,-1.016686,0.87077254,0.96787286,-0.9462819,-1.159762
usa_21_49,0,usa,0.46927816,-0.21760595,0.45339134,0.113276884,0.30944812,-0.13652162,-0.034229275,-0.108607166,-0.3276298,0.3879618,0.13373704,0.28719464,0.47237882,0.106113724,-0.15971972,0.04590504,0.28567094,-0.10426722,0.1547919,-0.1836109,0.2656915,-0.07986464,-0.30874878,-0.2325944,-0.12692267,0.14520574,0.39141688,0.12313735,0.42303994,0.19660726,0.12814271,0.10870885,0.051617444,0.1293982,-0.031282045,0.8301343,-0.3763981,-0.27305013,0.567167,-0.20063068,-0.438078,0.17489226,-0.041710168,-0.2757959,-0.009130858,-0.4153733,-0.15267646,-0.0029382631,0.09802659,0.3186454,-0.1263531,-0.28287446,0.03161143,-0.014683828,-0.36139584,-0.27259052,-0.08225115,0.20275882,-0.09224472,-0.19940785,0.1263052,0.113947935,-0.2377745,0.03939209
usa_21_104,0,usa,1.0888959,0.284947,-0.3829276,-0.669075,0.82511836,-0.08870859,-0.68214315,-0.8624358,-0.90288967,-0.99432755,-0.67899466,-0.6719034,-0.4334415,-0.54835343,0.492873,0.870984,0.67606235,-0.6019494,0.5544572,0.8598911,-0.39536515,-0.71444005,0.27075517,-0.9956167,-0.6650004,0.8716087,1.1816403,-0.73555285,-0.34841737,0.9676506,-0.54119503,-0.81098396,0.61921215,-0.49905235,0.64009446,-0.52117157,-0.86318266,0.64963925,-0.51269853,0.69097567,0.5991135,-0.16547182,-0.5445751,-0.65583134,-0.40129134,0.30185723,-0.75121796,-0.8390264,-0.35406482,-0.55466086,0.55555785,-1.0197229,0.86093074,-0.52880424,-0.9745536,-0.917978,0.8662827,-0.7626916,-0.63857406,-0.93834794,0.67021805,0.9772082,-0.8938887,-0.93463975
usa_26_49,0,usa,0.2291731,-0.35314023,0.45438978,0.13145882,0.1146926,-0.030016236,0.100214824,-0.061210543,-0.14213726,0.6424894,0.26232713,0.28427273,0.59611666,0.21318367,-0.28230345,-0.04692293,0.11377008,0.04520061,0.0206935,-0.09042686,0.3335317,-0.13857017,-0.30200458,-0.0763367,-0.04154467,0.05524881,0.20635936,0.06642947,0.4600568,0.19119345,0.25047103,0.26242697,0.017889015,0.16140155,-0.110449634,0.6812042,-0.15090735,-0.5745839,0.61844844,-0.39796907,-0.64776236,0.2385139,0.07515232,-0.27068713,0.005764663,-0.44943234,0.009283431,0.09838503,0.039940894,0.40140554,-0.2203254,-0.22154388,0.013269752,0.021414429,-0.20117179,-0.20568036,-0.094432145,0.32379588,-0.06600502,-0.1577065,0.079064965,0.019956224,-0.119552866,0.24011314
usa_26_104,0,usa,0.9119716,0.43261975,-0.28357202,-0.6277977,0.8393808,-0.21008438,-0.75528145,-0.8748665,-0.9688036,-0.88354665,-0.5972321,-0.6384257,-0.4620528,-0.4027081,0.40364647,0.69641083,0.7772427,-0.6978976,0.39151844,0.6933541,-0.23193437,-0.54984415,0.33755898,-0.8324997,-0.45426103,0.73140407,1.0111057,-0.5675191,-0.17772597,0.9823252,-0.6577445,-0.67480874,0.53109026,-0.39661014,0.56822366,-0.34640688,-0.95970744,0.60110706,-0.3700902,0.71532685,0.24870872,-0.07664558,-0.5514666,-0.6005718,-0.3094396,0.20216797,-0.7231904,-0.7532601,-0.1592468,-0.22253498,0.48634315,-0.8677605,0.64817,-0.546954,-0.67981017,-0.7593711,0.56607294,-0.65069443,-0.713488,-0.9181958,0.66761136,0.97035056,-0.7855947,-0.8453192
usa_49_104,0,usa,0.4481308,-0.09420142,0.29376644,-0.05202291,0.4055658,-0.10761903,-0.15324932,-0.26609033,-0.34705558,0.26655805,0.16361916,0.033193067,0.39001805,0.124684356,-0.11698662,0.098096676,0.38456383,-0.16805921,0.07576767,0.09369928,0.23910108,-0.28282443,-0.28351992,-0.3436976,-0.15475026,0.25724387,0.4778283,0.030073814,0.21204904,0.30684227,0.084509246,-0.07296912,0.016618073,0.003203459,0.12241699,0.61632055,-0.48039997,-0.26084048,0.38586083,-0.019262165,-0.39298403,0.17576961,-0.02000679,-0.38772124,-0.07204543,-0.28255734,-0.22001454,-0.078483246,0.028501585,0.25371227,0.02131518,-0.44914323,0.17241392,-0.10278249,-0.4187277,-0.31275773,0.036607694,0.17202303,-0.16746065,-0.2904647,0.28799105,0.03316755,-0.40869907,0.016586423
usa_47_84,0,usa,0.76962644,0.34853068,-0.27413386,-0.48179755,0.72813374,-0.010099076,-0.74258363,-0.8169763,-0.8257735,-0.4346915,-0.33284506,-0.58395904,-0.2385785,-0.25454655,0.24528039,0.5156411,0.81862557,-0.6766114,0.35690394,0.5884651,-0.33386245,-0.5258112,0.13256562,-0.6858953,-0.4766158,0.62764156,0.92696726,-0.43988252,-0.20386907,0.97215015,-0.6078772,-0.518212,0.5388566,-0.5267321,0.44669566,0.03623411,-0.771942,0.42099983,-0.21433134,0.6239585,-0.016925007,-0.056442596,-0.42990968,-0.72294736,-0.22353117,0.079797044,-0.7086184,-0.63244987,-0.15585937,-0.07096093,0.42804307,-0.90333515,0.5115509,-0.47533306,-0.80752933,-0.8037912,0.45782995,-0.32060263,-0.55378604,-0.77682984,0.6652325,0.6557838,-0.64477265,-0.6694699
usa_84_104,0,usa,0.8629713,0.32618856,-0.26759037,-0.39662108,0.5932292,-0.06890482,-0.69479537,-0.7500274,-0.75055385,-0.6127549,-0.44132942,-0.5385494,-0.29181686,-0.28088614,0.36753595,0.58081335,0.7247315,-0.63121355,0.3995228,0.6174634,-0.24848732,-0.6380142,0.20546094,-0.6870861,-0.4243014,0.5597484,0.9497467,-0.502207,-0.15607996,0.9693566,-0.4873594,-0.5236114,0.4329639,-0.3528564,0.52159256,-0.28838593,-0.7322982,0.36021495,-0.32630008,0.5450008,0.1840623,-0.052720867,-0.44181913,-0.6451519,-0.25887823,0.170956,-0.63434637,-0.5859566,-0.07339552,-0.1857287,0.39596987,-0.8993924,0.51039135,-0.35988843,-0.8161542,-0.6518025,0.5590961,-0.44528097,-0.54622924,-0.6870777,0.58194673,0.7512785,-0.66833174,-0.7006327
usa_73_106,0,usa,0.49751875,-0.03211751,0.14231965,-0.10728992,0.453346,-0.15980546,-0.3299446,-0.36890066,-0.28418395,0.08001025,0.1807073,-0.11804429,0.23291746,-0.019410469,-0.08635563,0.032139853,0.43042827,-0.3682096,-0.13279605,0.17023918,0.16613671,-0.25149992,-0.09235276,-0.34314698,-0.11504888,0.32032138,0.43621463,-0.06933914,0.18565777,0.5991823,0.07086594,-0.14201403,0.19260007,-0.17389664,0.15653668,0.37622118,-0.43237504,-0.16909166,0.20961046,0.20328018,-0.18153234,0.09367822,-0.13223326,-0.60593224,-0.13408834,-0.029489405,-0.19294894,-0.08106163,-0.006095901,0.1477021,0.21655805,-0.56116664,0.24479136,-0.11421024,-0.52715844,-0.48598558,0.37212986,0.053724878,-0.31769595,-0.1686207,0.3289605,0.17163345,-0.52252984,0.057045065
usa_92_106,0,usa,0.8121352,0.39760092,-0.29694894,-0.5267662,0.6847476,0.06389624,-0.7261221,-0.7814734,-0.88033086,-0.7351499,-0.38326374,-0.5168135,-0.21801135,-0.15857634,0.39352214,0.55643356,0.6515097,-0.638569,0.37797087,0.5770521,-0.2774809,-0.4814338,0.1432775,-0.6853157,-0.44643745,0.550678,1.0318971,-0.3569708,-0.24165723,0.8321717,-0.46434754,-0.52686864,0.48957595,-0.4162506,0.5058989,-0.107143484,-0.8113657,0.35409266,-0.36371607,0.5017443,0.046501722,-0.056752816,-0.36309698,-0.6334467,-0.3090979,0.099808216,-0.64267635,-0.5848967,-0.07796322,-0.12523568,0.39996254,-0.84895575,0.5631706,-0.5325184,-0.69123405,-0.7063905,0.4589496,-0.3945533,-0.44149348,-0.6101985,0.6516583,0.6013323,-0.6817429,-0.605639
usa_3_67,1,usa,0.05775845,-0.6171354,0.918274,0.48601142,0.060050294,-0.07876913,0.25096077,0.19876018,0.23830518,0.7336301,0.32546788,0.6136447,0.93591326,0.4892992,-0.4391055,-0.30947217,-0.23829028,0.19921005,-0.1329138,-0.62407446,0.616305,0.34850234,-0.52153826,0.09624822,0.3427814,-0.050908558,-0.0034007058,0.47127765,0.51159656,0.06073869,0.45773178,0.45480624,-0.5068567,0.36789727,-0.35483274,0.9695922,-0.023660012,-0.6542163,0.8211861,-0.49716008,-0.8830241,0.47738248,0.47692603,0.21117476,0.21686506,-0.6369801,0.41361228,0.41038978,0.39167053,0.67053616,-0.5048456,0.11182675,-0.27522156,0.24919984,0.25481603,0.18737558,-0.36853126,0.60165095,0.2656577,0.14939259,-0.20504081,-0.4319054,0.11663142,0.5229339
usa_12_67,1,usa,0.09194924,-0.36348808,0.6875001,0.21322939,0.23268197,-0.12284925,0.15234587,0.06414909,-0.016216964,0.63155204,0.4694297,0.38472167,0.7604474,0.3125907,-0.44401038,-0.06798234,0.023109972,0.055762134,-0.2519746,-0.29291987,0.43231118,-0.0017072111,-0.47946376,-0.16347584,0.15499529,0.09716278,0.13543777,0.33126375,0.4856166,0.07806453,0.46895242,0.26016855,-0.28143588,0.27245522,-0.23732638,0.67916113,-0.18742888,-0.60023624,0.65478384,-0.43149716,-0.60201627,0.3620879,0.35491157,-0.1686999,0.048477545,-0.5746924,0.06515783,0.25504935,0.19012333,0.53545845,-0.17596532,-0.11153737,-0.023900606,0.123753846,-0.16897011,-0.05976454,-0.3547655,0.44024345,0.076685235,-0.17611995,0.020197175,-0.17140308,-0.051229656,0.33813635
usa_43_67,1,usa,0.37964398,0.016368277,0.31258422,-0.10564612,0.39955807,-0.21363303,-0.23140316,-0.35903344,-0.31300786,0.12921503,0.11955874,-0.014493316,0.28833178,0.10972177,-0.11591965,0.16007242,0.36633244,-0.23359087,0.045450237,0.09720235,0.1584228,-0.30406928,-0.20914926,-0.42116776,-0.17571348,0.33656794,0.5347927,0.029570282,0.21894199,0.4395632,0.09384174,-0.10110734,0.049063306,-0.024210036,0.1741122,0.32638174,-0.5062665,-0.14662416,0.30081075,0.017018147,-0.33852047,0.1280334,0.08061203,-0.37526777,-0.13689065,-0.2694159,-0.2901095,-0.08964776,-0.00037451088,0.23437497,0.16162956,-0.5079146,0.23353782,-0.071942516,-0.43723828,-0.2732079,0.06398299,0.12689844,-0.18535945,-0.32094646,0.25772202,0.15606047,-0.41216826,-0.12770069
usa_3_12,1,usa,-0.22414073,-0.8223077,1.00782,0.7893268,-0.08814588,-0.08246691,0.6446056,0.65753543,0.35110548,1.0542717,0.5663737,0.9666364,1.0417742,0.539917,-0.5783702,-0.4270702,-0.049375556,0.47782385,-0.4211799,-0.9269854,0.94955516,0.63681,-0.5664383,0.23409197,0.49637082,-0.35999823,-0.11389999,0.703542,0.83687234,-0.25521323,0.6757668,0.7674941,-0.5467262,0.6092263,-0.5565756,1.6516519,0.14539376,-0.86699337,1.0144724,-0.76618904,-1.0441233,0.5078167,0.6892755,0.19509661,0.36025122,-0.8135696,0.30194253,0.5798768,0.45923924,0.88782495,-0.7215325,0.43575233,-0.38767007,0.43320447,0.21071163,0.10819441,-0.736706,0.7112826,0.43025798,0.24429326,-0.36079583,-0.4445951,0.2645436,0.7877241
usa_3_43,1,usa,0.24187905,-0.36291197,0.5596952,0.25725344,0.19524941,-0.0057616234,0.12481597,0.038166516,0.05262681,0.6209448,0.2572734,0.5135406,0.6254457,0.3131007,-0.31347626,-0.15157384,0.12433791,0.018645085,0.05815588,-0.3353033,0.53122365,0.053799994,-0.4495499,-0.0934436,0.10543836,0.08877883,0.25664672,0.31734857,0.4359375,0.3067252,0.36812925,0.336679,-0.2152803,0.19937153,-0.11535973,0.90398,-0.19498596,-0.4540627,0.6807257,-0.29771817,-0.68484414,0.23627324,0.2928542,-0.05843609,0.057435557,-0.4835029,-0.008701913,0.18113637,0.1178654,0.44555727,-0.24154164,-0.12618007,-0.0087962,0.09462391,-0.10901875,-0.1485661,-0.25728175,0.4653503,0.13606486,0.0400666,-0.044849567,-0.0966301,-0.09981303,0.2837798
usa_12_43,1,usa,-1.380928,-1.1742758,0.4959812,1.1497704,-0.9424389,-0.020282894,1.5534061,1.0453327,1.1138014,1.457816,0.683694,1.5285442,0.77636254,1.0980057,-0.8280125,-1.0019871,-1.3372606,0.9318587,-1.0755203,-1.4592818,0.85210437,1.0923277,-0.46227813,0.8971971,1.0714593,-0.87751645,-1.1457324,0.8282264,0.41502437,-0.83472896,1.6078514,1.0476878,-1.0806472,0.9002148,-0.78305143,1.168663,1.3397787,-1.099111,0.8032608,-1.293906,-0.9035353,0.5767128,1.2874639,1.1630365,0.2457493,-0.6240794,1.0511109,1.2713374,1.147034,0.8950443,-0.7539582,1.5542493,-0.9906323,0.9415421,1.1979977,1.2265084,-1.0387509,0.8350578,1.0622852,1.4094578,-1.2899611,-1.4109275,1.3547955,1.2453517
usa_73_83,0,usa,0.8380957,0.33416742,-0.26639116,-0.55142605,0.63331443,0.00016910583,-0.75480145,-0.7796521,-0.86871046,-0.60301125,-0.44641766,-0.6109617,-0.1729455,-0.09159233,0.33461046,0.45869014,0.7384547,-0.6184186,0.4267739,0.57233846,-0.27231205,-0.6794196,0.031069055,-0.71478856,-0.564794,0.61881644,0.89429677,-0.47887012,-0.18337294,0.85512483,-0.5416634,-0.49750668,0.4127266,-0.45158368,0.49474573,-0.06692055,-0.68820155,0.29143727,-0.27349678,0.5559158,0.015243098,-0.08509907,-0.42670837,-0.764121,-0.27327096,0.074599065,-0.6677661,-0.48554203,-0.0354751,-0.07252986,0.34759945,-0.8938964,0.52138597,-0.49182624,-0.7588358,-0.79853153,0.5697903,-0.3070185,-0.5408586,-0.7983481,0.6738392,0.71674585,-0.7599846,-0.6379978
usa_22_43,1,usa,0.30196238,0.05560751,0.285889,0.113067895,0.2484112,-0.058587432,-0.33012682,-0.14203045,-0.05117435,0.20912321,-0.09664161,-0.150837,0.13940313,0.23883834,-0.009847604,0.108268395,0.21476418,-0.054658834,-0.057560436,-0.23095943,0.05914796,0.016602218,-0.114788994,-0.30468366,-0.03336981,-0.05395227,0.105024494,-0.030084915,0.34889066,0.23281896,-0.23861313,-0.07579608,0.13573691,-0.056440312,-0.054939695,0.23433584,-0.16560076,-0.1559997,-0.038326874,0.14204544,-0.114298046,0.23370828,0.25616953,0.13237599,0.112095594,-0.26083562,-0.30547643,-0.062164966,0.07617721,0.40005574,-0.06898835,-0.2319163,0.0878258,-0.12093197,-0.216091,-0.285884,-0.0034227371,0.11709883,-0.11842113,-0.12283182,0.2795785,0.20943755,0.13778046,-0.23799601
usa_43_64,1,usa,-0.2888363,-0.44694018,0.23462501,0.29323864,-0.20348884,0.27009323,0.23470344,0.109172665,0.3264108,0.4670539,0.12663935,0.27926713,0.607831,0.5037192,-0.24484192,-0.508981,-0.47707593,0.35192692,-0.13556369,-0.46871948,0.38291693,0.45405123,-0.35831398,0.051919498,0.1485399,-0.4290558,-0.4922004,0.20612833,0.58482945,-0.25298172,0.34126914,0.57839614,-0.28684413,0.45914638,-0.013710365,0.74633056,0.4552647,-0.45903105,0.19828042,-0.27525204,-0.33617562,0.31377548,0.80159247,0.5211476,0.4033786,-0.4310877,0.18908197,0.36467633,0.38611734,0.5876798,-0.33568954,0.32653004,-0.119022824,0.13876554,0.25696787,0.083640695,-0.4079297,0.65241784,0.17434242,0.28612113,0.04138848,-0.06740561,0.463572,0.06963184
usa_43_119,1,usa,-0.089994945,-0.34152463,0.47019854,0.32206666,0.059725195,-0.20895869,0.20942633,0.01177682,-0.14687012,0.47964233,0.48170832,0.3917277,0.5370188,0.070971854,-0.42806315,-0.109372936,0.013322704,0.15591514,-0.13156022,-0.31707382,0.44790894,0.046783976,-0.35089016,0.121373616,0.0011564642,0.0026686564,0.106975265,0.15264514,0.46475175,-0.062067352,0.5533964,0.2665366,-0.03690859,0.34272492,-0.101370074,0.6555637,0.003108725,-0.57315046,0.4625443,-0.42743683,-0.47400624,0.25070632,0.5442379,-0.14867374,0.05068116,-0.7188348,0.0024389848,0.44572926,0.113626495,0.52176917,-0.26513493,-0.072497904,-0.10591409,0.21852478,-0.24690402,-0.18867938,-0.4626043,0.5111684,0.100914,-0.05541682,0.0690217,-0.23767969,-0.1334835,0.41538247
