pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
brazil_72_76,1,brazil,-2.9507842,-1.3591884,1.1677812,2.8511689,-1.9566846,-2.4603488,2.3202128,1.5470917,2.0190582,2.726349,0.2905542,1.5450323,2.1639047,1.7624458,-1.4689295,-1.2814914,-3.866067,1.9883739,-0.7006995,-1.3021436,2.568933,0.8570446,-0.17106278,1.46733,2.2099738,-1.9748037,-1.6197492,2.533648,0.68366504,-1.1875278,0.48544818,0.9064358,0.28457773,1.5298445,-1.3874242,0.98244053,2.6752205,-0.69093084,0.7872547,-1.6165076,-1.6346287,-0.16367918,1.0072619,2.795983,3.1316469,-2.072694,0.22976702,1.5392704,0.55569243,1.1810937,0.22907363,0.83437306,-0.98302096,-0.41930813,1.72972,2.594274,-2.9740202,2.1016371,2.881875,1.3684598,-2.0490632,-1.2382451,0.72567666,1.8996559
brazil_50_76,0,brazil,0.37848648,-0.8162663,-0.94200647,0.064669885,0.1117777,0.7178619,-0.77300817,-0.6547099,-0.40242153,-1.0921855,0.7033889,-0.2563984,-0.6354098,0.02256753,-0.060329244,1.3892345,1.7168107,-0.7438617,0.7002188,1.0074717,0.2316508,-0.8235397,0.5520658,0.18328714,-1.3074179,0.57581675,0.16678116,-0.84593606,-0.871517,-0.018559478,-0.75527525,-1.6150634,0.24470562,-0.56693244,-0.04082142,-1.2181479,0.08927502,1.9887758,-1.2289208,-0.74417055,-0.45553178,0.8611378,-2.4863386,-1.1695547,-0.7011578,2.5507426,-0.7469484,-0.38610262,-1.0223292,-1.2242296,1.3934672,-0.8910557,-1.0224639,0.36498386,-0.7913139,-0.32023385,2.076634,-1.7657914,-0.7346784,-1.7081198,0.9520657,0.30076867,-0.6923899,-1.9115866
brazil_75_76,1,brazil,-0.93639183,-1.3515214,0.51367414,1.0168597,-0.5219233,-0.7071837,1.7303863,0.34683982,1.208653,1.139765,1.2175831,2.1321936,0.9187613,1.3696431,-1.2658811,0.2338787,-1.5410856,0.75477195,0.16911831,-1.1531963,1.2413597,0.7987405,0.49315345,0.81260324,1.7510458,-0.8714443,-0.6279575,1.1243374,-0.7215655,0.22133999,1.1789714,0.8281221,-0.7522621,1.0804234,-1.2255423,0.29481182,1.8311462,0.44717866,-0.19397692,-1.1230773,-0.8892376,0.016033659,-1.2287406,0.8106282,0.9128617,-0.51433843,-1.0949095,0.53992224,-0.40383643,0.86370945,1.436616,1.2024741,-0.04657002,0.62776434,1.7921624,1.356331,-1.0194008,-0.568763,1.2531897,-0.09183001,-1.3717006,-0.561751,0.08768991,-0.1583296
brazil_76_78,1,brazil,-2.5854151,-1.7507563,0.023454538,1.7338527,-0.94658625,-0.93569016,1.2844611,0.26694867,1.9683911,1.9884884,-0.42356294,0.59542805,0.24256611,1.5981928,-3.0023751,0.4697114,-1.732207,2.7124128,-0.595052,-1.8539232,0.6090943,1.4686171,-2.5465727,2.633351,1.7648162,-2.5426939,-0.72039604,1.6890177,0.22851934,-0.41509226,0.17052217,0.7196289,-1.1331456,1.2823493,-3.3988552,2.2349179,3.1941438,-1.1756703,-1.3430657,-2.0537214,-0.4055214,1.0730759,-1.8216965,0.57389385,0.8856589,-0.87689185,0.8485181,0.49341092,-0.07311889,0.23650908,-0.37282994,0.99637705,-1.3333176,-1.3065398,3.1634336,0.95994323,0.4286039,1.3619802,0.9310608,1.4225891,-1.582909,-0.764838,0.97175765,0.22608006
brazil_76_80,1,brazil,-2.417206,-1.9523281,-0.054676678,1.809695,-1.3075467,-1.168251,0.9245154,0.29604784,1.488627,1.9036766,-0.603562,1.1030416,0.663729,0.7594247,-0.055812832,-0.46778214,-1.1285095,2.8917472,-0.64384854,-1.4604896,0.17239292,0.24000703,-1.1979353,1.6340363,1.3456472,-1.8558677,-0.3753553,1.5679185,-0.07089322,-1.1184096,0.3398124,0.9725538,-0.72775364,0.56336665,-2.2226975,1.5414735,2.2029686,-0.6375527,-0.094334625,-1.1601876,0.28602892,1.8517056,-0.5794755,0.11507661,0.6558013,-0.19389021,0.9189563,0.53264606,0.49708647,1.1429676,-0.45264632,0.035129465,-0.39416468,-1.5230203,1.0594115,0.40721425,0.3019607,1.040042,1.5450416,0.07807799,-0.97539395,-0.59199834,0.36857262,0.42307517
brazil_72_78,1,brazil,1.1172464,0.31957307,-0.995733,-0.16198237,2.0370731,1.5654808,-0.87409306,-1.7156757,-1.8993933,-2.768249,0.27175078,-0.16464491,-1.1408355,-0.11838248,0.71839553,1.8821164,1.7290449,-1.9519149,1.893156,1.7743193,0.34194988,-1.1210552,0.98506385,-1.073398,-1.3144891,0.63386333,1.7959669,-1.564752,-2.2482488,0.7691504,-2.4848132,-2.724213,2.2082298,-2.5683308,0.72367156,-2.1760755,-2.1758664,2.213977,-2.886613,0.39127186,2.2390578,1.844088,-2.544603,-2.124956,-1.7489877,3.0989423,-0.45125592,-2.5276747,-1.62321,-3.0212953,1.7346513,-0.9796091,-0.48682222,0.5811753,-1.2356528,-1.9313711,2.704069,-2.122319,-0.8526688,-1.0618123,1.6961312,0.8821452,-1.5338259,-2.295774
brazil_50_53,0,brazil,0.13156939,-0.40656796,-1.036846,0.882881,0.9873269,0.5899768,0.447706,-0.7656891,-1.6482058,-2.012106,0.576032,0.7108551,-0.17192753,-0.29598492,1.3019083,1.5362433,1.4903977,-1.5377556,1.0677401,0.4913221,0.6962679,-1.3959026,1.7489802,-0.2322576,-0.89714617,1.050394,0.21374297,-1.2224889,-1.0723271,-1.0206757,-1.2607688,-2.778964,2.4316416,-1.3617514,-0.12446814,-0.7332318,-0.52713215,3.1003866,-1.0624523,-0.7253948,0.6842565,0.46428266,-1.864945,-1.6242174,0.38412374,2.2360394,-1.4422543,-0.7172859,-0.024643112,-2.0173757,1.7283581,-0.8015309,-1.8658491,0.11436484,-1.2221203,-1.2549485,2.0280626,-1.4441767,0.01037123,-1.2655902,0.83045554,0.05733257,-1.4215773,-1.6408656
brazil_50_78,0,brazil,0.1492643,-0.62496245,-1.4374304,0.18054439,1.2037401,1.2246087,-0.16040431,-1.6109121,-0.8954664,-2.7898064,0.2190846,0.31651482,-0.55304664,-0.117668,1.2284949,2.034881,0.71161485,-0.6861116,0.96545017,1.1391013,-0.19405194,-0.76207364,2.0667708,-0.063649945,-1.416747,0.75598526,1.2105682,-0.30005336,-1.528555,0.0398379,-0.742421,-1.9829971,0.82967675,-1.2217842,0.48780534,-0.2693024,0.03460974,2.3665643,-1.8839773,-0.19711024,0.7622567,1.1760732,-2.5018623,-1.8801543,-1.0759209,1.5714744,-0.85638756,-1.0950426,-1.399812,-1.3785952,1.8190393,-1.8179576,-0.35809126,-0.04479745,-0.54064673,-1.264745,1.5946271,-2.198585,0.5284091,-1.5331537,0.7813848,0.33935937,-1.5887803,-2.18281
brazil_78_80,1,brazil,-1.1693041,-2.708751,1.5780265,2.0454347,-1.3880045,-1.6179293,2.566243,2.4376616,2.5722983,2.1257584,-0.14515159,1.5297668,2.432464,1.361129,-1.5261886,-0.6995139,-1.8012602,2.066635,-1.5025548,-1.5524019,0.48397815,0.69292307,-0.3020905,1.4724047,1.6270521,-2.3272054,-1.1142602,1.4536726,0.32244536,-0.79631144,2.0958884,-0.1614729,-0.713584,1.8049849,-2.432207,2.165838,2.582635,-0.65062976,0.3781062,-0.19830024,0.084927544,0.58418804,-0.111693315,0.8707454,1.3360668,-1.5696837,0.73166835,1.3943793,1.082214,1.0436499,-0.18461898,0.13461882,0.46609044,-1.7766736,2.470432,1.6854268,-0.70649326,1.4127644,2.61897,1.4750007,-1.4356276,-1.7897686,1.6707256,1.2174134
brazil_17_79,0,brazil,-2.8139904,-4.1819143,1.1610641,2.637329,-3.535038,-3.8717844,3.0405362,3.521578,3.8548036,2.9433968,1.3934447,3.0714412,2.705035,1.2797303,-1.1183956,-1.5553493,-3.0051792,3.8049629,0.7391891,-2.2626643,-0.53929704,2.5803773,0.40199438,2.6071172,3.6832495,-3.2793858,-2.3708177,2.2018864,1.3310034,-0.65020895,2.2782147,1.7630861,-1.2707263,2.634938,-3.5985405,2.1404638,3.1780334,-0.71885216,-1.4854226,-1.618146,-0.8044234,2.9170177,-0.054109577,1.516054,2.1361613,-1.9638891,2.3742049,1.1282514,1.6692314,2.9295492,-0.10798361,2.9862678,-1.1020021,-2.0943809,2.623377,2.5309858,-1.0423378,1.7916151,1.7429581,0.8671826,-2.6364007,-2.6929915,3.082524,2.445306
brazil_1_79,0,brazil,0.30290857,-0.30961353,0.34670523,-0.016116781,-0.41470945,0.4413501,0.10072955,0.17699009,0.51212424,-0.07301301,-0.64170176,-0.17586656,-0.29093635,0.19219871,0.117123425,0.4574993,0.30890507,-0.5636311,-0.076964505,0.10919526,-0.13999699,-0.39039773,-0.1808841,0.3980172,-0.5542801,-0.72891515,-0.12625569,0.3158764,-0.41669342,0.21510838,0.46672797,-0.7491649,0.35932094,-0.40952617,-0.9257936,0.45986474,0.7604412,0.88795424,-0.032820344,-1.110482,0.016206676,1.7449797,-1.1121142,-0.69132787,-0.43208885,1.3062186,0.55137426,-0.12702662,0.016842984,-0.9601576,1.2293038,-0.3547418,0.26648605,-0.073312774,0.102915615,0.43815967,1.459423,-0.35846812,1.2183843,0.17514057,0.12163387,-1.3125275,0.38540617,-0.29078928
brazil_2_79,1,brazil,-1.0293896,-2.2041268,0.5436876,1.3134731,-1.7081716,-1.7195143,1.8891907,1.4266521,1.9414225,1.9921454,0.46310675,1.7212687,2.1921203,1.24138,-0.22565795,-1.4482788,-1.9921179,2.8442922,-0.9222535,-0.22765724,0.053445663,0.9500512,-0.77151716,1.3704486,1.9318441,-1.3486005,-0.47112575,1.1162994,1.0150366,-1.4087231,1.2044742,1.0412167,0.12744494,1.653104,-1.7948121,1.50927,2.0126684,-1.7259235,0.5982723,-0.76914847,-0.6303497,1.2035564,-0.7451427,0.84656894,1.2580006,-1.2056873,1.7345283,1.2701528,0.8042474,1.5835856,-0.8274714,-0.2309166,0.509496,-1.7943048,0.7765092,0.9893838,-0.67352444,1.3334639,1.3284619,0.26139387,-1.8041602,-2.631083,1.3935564,1.3723019
brazil_1_17,0,brazil,0.08990154,-0.17822473,0.17010653,0.12662008,-0.9959362,-0.43345758,0.23502944,0.5065465,0.3654597,0.32891452,0.7546261,-0.007897556,0.6563624,0.7540357,0.2623038,-1.1219814,-0.8039869,0.48082548,-0.4954525,-0.7048194,-0.19573483,-0.8547801,0.21607302,0.76046824,-0.060655396,0.17891218,0.21625365,0.46536165,0.8185388,0.30309495,0.53109044,-0.31620675,-0.35709766,0.22247122,-0.4092928,0.38439068,1.1732476,1.1803017,0.5352016,-0.71592444,-1.0002764,0.13826178,0.37397859,-0.00042634923,0.38090572,0.48068067,-0.30029112,1.1431613,0.55907375,-0.007242578,-0.049385212,0.09779999,0.15538503,0.26189625,-0.034539305,0.45134816,0.9353218,-0.017628144,1.0624065,-0.37232324,-0.3179783,-0.8767523,0.54929954,0.06285621
brazil_2_17,0,brazil,0.8621304,-0.33336577,-0.8249806,-0.48002496,0.8713471,0.9748047,0.3755752,-0.32412893,0.60262036,0.10272241,-0.6568646,-0.7002405,-0.7302277,0.53428584,0.6069851,1.3296349,-0.051050298,-0.1542389,-1.0267462,0.24471536,-0.741122,0.03958591,1.1013178,0.50866026,0.15577815,-0.0268443,1.7829217,-0.14256625,-0.16379225,0.9880609,-0.76199704,-0.20748928,0.8112001,-0.34948212,0.42000672,-0.4689746,0.08833814,0.31482333,-0.86936176,0.23452939,0.54059225,1.6032882,-0.37670913,-0.15564135,-0.49284783,1.2268008,0.42798606,-0.5107901,-1.2388612,-0.72830313,0.49613312,-1.2762629,0.98872465,0.06767559,-0.69449806,-0.25069478,1.3114052,0.9350489,0.6591145,0.23438483,0.58749896,0.7943013,-0.9870086,-0.51744515
