pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
usa_21_47,0,usa,-1.5662112,-0.6774056,0.7657609,1.4966404,-0.6880512,-1.5679798,1.2532861,1.3021119,1.1917926,1.8330667,-0.33354482,0.22397602,1.7675911,0.8207114,-0.96238846,-1.1219782,-2.120435,1.5257841,-1.2894381,-1.4076871,1.3510771,0.091308594,-0.57722867,1.3881214,1.1645094,-1.1083276,-0.9380437,2.3378847,1.6190466,-1.0301605,0.59482926,0.964012,0.38597897,1.1996262,-0.44784245,1.4971267,1.7115505,-0.51774263,0.83086634,-1.566285,-1.287847,0.1111034,1.6396831,1.2350335,2.6462,-0.8399219,0.82201827,2.241313,1.0059499,0.6778807,-0.9297459,0.28628793,-0.76929134,-0.80720204,0.89859134,1.792461,-1.7495873,2.3727841,2.409653,0.5579833,-1.2692724,-0.5101491,0.031838253,1.7828636
usa_26_47,0,usa,-2.2011797,-0.5931265,0.06731365,0.61150616,0.51402307,-0.34623936,0.38239473,0.05754739,0.8281763,1.6116898,-0.24716353,-0.040837653,-0.075170934,1.5017915,-1.2818007,-0.15293425,-1.1076776,0.34551522,-0.38480937,-1.1364107,0.5663504,0.01788424,0.48711073,-0.35236067,0.95775515,-0.4707334,0.078476794,1.6389228,-0.27686226,0.7693765,-0.17379072,0.82786596,-0.5702747,0.57178265,-0.68726027,0.32320076,1.3122774,0.5883884,-0.22471167,-0.30222955,-0.86281145,0.08422479,-0.14875549,0.97859365,1.5366572,-0.6686609,-0.6274362,0.6292467,-0.05314828,0.17300142,0.46255636,0.20520118,0.32260928,-0.14568962,1.8655779,1.5899509,-1.1979722,0.17760406,0.56988335,0.47300676,-0.16315249,-0.2803256,-0.36054268,0.052072693
usa_47_49,0,usa,-0.31981242,-0.8003835,-0.16175757,0.038856383,-0.0727906,-0.27282882,0.31300312,0.8055322,0.34914216,0.54545444,-0.79833394,0.43807706,0.5528157,0.015459149,0.32949066,-0.31588084,-0.019937571,0.73434776,-0.9240436,-0.6182912,0.1685212,-0.9845651,0.67328376,0.52436525,0.56045157,0.308784,0.57876563,1.0136489,0.60623604,-0.06490996,-0.089878425,0.64170444,-0.03536093,0.77713853,-0.077457525,-0.07396215,0.60911274,0.31056026,0.15644121,-0.14340946,-0.8247612,0.61989623,-0.0056283465,-0.10880608,0.5074287,0.5802522,-0.2352992,1.1573025,0.815323,0.23616958,-0.063623734,-0.18113099,0.28431487,-0.8272663,-0.3865771,0.6681715,-0.11659489,0.33228275,0.6084495,-1.1172868,0.080466025,-0.015441505,-0.7009933,-0.071953304
usa_47_104,0,usa,1.3220054,0.81448793,0.6269609,0.29521,-0.3248653,1.597252,-0.09484642,-2.9619265,-0.09118709,-1.018104,-0.058168378,-1.8456582,-3.5580888,2.2991233,-1.6838036,2.335989,1.9622884,-2.8893309,1.7458173,-0.48816466,-2.7377594,2.549733,0.52286124,-1.8834485,0.7355848,-0.6131267,1.1418132,0.07184662,-1.7925469,2.199689,-1.3388665,-1.3010138,0.68220353,-2.3923388,-1.8483092,2.223943,-0.7033167,2.9216232,-3.6277785,-0.6841426,3.1455505,3.2805593,-1.858582,-1.839987,-1.1017605,1.9459497,-2.361096,-1.7494061,-3.773606,-2.24701,2.012221,0.5102892,0.8298914,1.7232279,2.5113723,-0.72736734,2.6796474,-2.382872,0.29538676,1.2007853,1.1915898,0.7020406,-0.47032085,-3.4179797
usa_21_49,0,usa,-0.6422985,-1.9330021,0.30209178,1.0211613,-0.6806288,-1.346981,1.5683577,1.4683268,1.3888341,0.53308374,-0.28494602,0.89594483,1.336229,-0.26391798,0.33106115,-0.9538145,-0.573862,1.0759461,0.25130495,-1.1550257,0.6323957,0.10778537,1.1186213,0.35909888,1.0319821,-1.1339741,-0.14455123,1.0760688,0.6407842,0.24286895,1.1893251,1.0665002,0.11294031,0.80284977,-0.8075018,0.82673156,0.9693816,0.9477845,0.4004637,0.48082507,-1.1900902,0.55722725,-0.12598747,0.11073792,0.7517365,0.2989133,-0.18850543,0.38355023,0.6231479,1.8488556,0.47473893,1.2202123,-0.56499165,-0.8394685,0.31771693,0.7309937,0.18085773,0.38425875,0.8903596,-0.8974827,-0.80258346,-0.694106,0.12274599,0.49505678
usa_21_104,0,usa,-0.06333266,-0.30409962,-0.31817868,-0.46773878,-0.48576382,-0.82795787,-1.2488575,0.50406414,0.1981122,0.61195725,-1.1876795,-0.21083644,0.43455046,0.3038801,0.25673234,-0.092464656,0.23913096,0.030500034,-0.61514455,1.1104869,-0.07462566,-0.6855112,0.9099466,-1.262066,-1.3522748,0.63549656,1.4566394,0.097194254,0.5591359,0.06092862,0.10410996,-1.013566,0.94148153,0.24984372,0.6934374,-0.3129623,0.5430164,0.76582795,0.00380421,-0.10203503,-0.76053876,0.99596775,-0.26893416,-1.0870453,0.22523673,1.0230477,0.106424615,0.47106606,-0.32906747,-0.75217426,0.69809914,0.10205135,1.3274806,0.264018,-1.2731473,-1.1185052,1.0869873,0.7365912,0.40462732,-1.277902,0.5400092,1.2743285,0.2530618,0.011312268
usa_26_49,0,usa,-0.20336738,-1.8498971,-0.71270347,0.88092864,0.04303196,-0.18472369,0.50748247,0.76091176,0.6038623,0.38423184,-0.46373156,0.48882222,0.30187562,-0.42543948,0.73419577,-0.06467012,0.04914681,0.7524631,0.52926517,0.047776178,-0.10640227,-0.3900322,1.4314725,0.059030235,0.7139315,-0.7469705,0.3558647,0.20291394,-0.20385739,0.028115049,-0.06557304,-0.0065329103,0.44942424,0.25204167,-0.29486817,-0.2410287,0.42398927,1.4124354,-0.39298227,0.50817394,0.0072729085,1.3418504,-0.9172834,-0.5727533,0.07844372,0.8698068,-0.84822387,-0.5738916,-0.33739108,0.65132046,0.5001923,0.21722206,0.009603418,-0.8592798,-0.37568706,-0.07753915,0.7649039,-0.40251374,0.27795914,-1.3265593,0.45190647,0.118836425,-0.62167466,-0.46017736
usa_26_104,0,usa,1.0705158,0.32568964,-0.28568575,-0.18570843,0.3519433,0.8026691,-0.77431774,-0.2779305,-0.37914485,-0.16737197,0.56807095,-0.6397595,-0.53809446,-0.045319468,-0.35848436,0.8038472,0.94274896,-0.37316886,-0.61453974,0.06546879,-0.4480917,-0.45396793,0.77752006,-0.2721255,-0.68590164,0.5670232,0.5055906,-0.6182061,-0.37909174,0.2829806,-1.0355471,-0.42191643,0.9115395,-0.27563277,0.009662742,0.17209928,0.14756063,1.1491542,-0.27643248,-0.2634608,-0.2458572,-0.34878355,-0.43008098,-0.57726806,-0.040630586,0.76781446,-0.8663406,0.78091836,-0.13843133,-0.084641784,0.04914197,-1.3562926,-0.1046765,-0.23586944,-0.7215893,-0.10235089,0.9019537,-0.49611834,0.2706285,-0.3022383,0.51540864,0.20512608,-0.4760611,-0.7814683
usa_49_104,0,usa,0.023909818,-1.0919601,-0.32085276,0.028279303,-0.14793791,-0.11085668,0.46989685,0.9924076,0.5365741,0.14516367,-1.2315863,0.5779942,0.42250586,0.025477193,0.9853109,-0.25443247,-0.10464149,0.5022949,-0.88358694,-0.40883204,0.24881248,-0.9719295,1.1542004,0.4976295,0.5595866,0.2515651,0.88892597,1.0925213,0.48490366,0.12861589,-0.15557589,0.5218167,0.37070817,0.5947334,0.12435965,-0.24563259,0.563662,0.8818924,0.17766212,-0.024953857,-0.7371724,0.68067354,-0.0024504308,-0.17823194,0.10376229,1.2488955,-0.3955761,0.86539876,0.773483,-0.17471378,0.10628601,0.15818892,0.39837083,-0.86735594,-0.88251764,0.3774749,0.38006538,0.2578664,0.9189479,-1.5390061,0.16030587,0.26719415,-1.0228801,-0.27169478
usa_47_84,0,usa,-0.5922954,-0.8395206,-0.086352654,-0.34230283,0.3261553,0.17743349,0.15701051,-0.17733021,0.0073594907,0.42590177,-0.55720633,0.65364724,0.10348318,0.6417802,0.22734444,0.4965288,-0.14240131,0.18554375,-0.66411775,-0.79854155,0.48278573,-0.69224626,0.97820795,0.110327184,0.54620206,0.3222135,0.85341156,1.4221851,0.50110626,0.30197117,0.49788386,0.5381958,-0.0014708508,0.13838792,-0.06670871,0.3817188,0.13402203,0.6616599,-0.5734029,-0.19582476,0.09849325,-0.09201868,0.061484106,0.25787616,0.5452556,-0.8246026,-0.24204725,0.76702887,0.20079435,0.20590279,0.59630966,-0.03337948,0.8446877,-0.08450842,0.49189633,0.98992026,-0.55125874,-0.1435541,0.18594901,-0.21688193,0.07835433,0.7301661,-0.33402008,-0.39465478
