pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
usa_21_47,0,usa,-0.2556738,0.2780047,-0.25809887,-0.03445552,0.053061776,0.22974652,-0.43711063,-0.04909041,0.02376768,-0.49094135,0.28138113,-0.3090827,-0.34836495,0.5804494,0.16088517,0.37295225,0.007839851,-0.0116682425,-0.5866414,-0.43581805,0.37930587,0.20739836,-0.36382487,0.14726926,0.29801625,0.5020627,0.30967277,-0.058123425,-0.14229795,0.29380658,-0.58500516,0.35811666,0.1724599,-0.33958498,0.2747158,0.25640792,-0.3767591,0.17976047,0.09557003,0.24264413,0.1660565,-0.054428965,-0.61471397,0.054296345,0.2291381,0.13117531,0.080154575,-0.15547478,0.34874812,-0.4423971,0.21341367,-0.20520954,-0.44227892,0.22364548,-0.18058276,-0.2705676,-0.082080625,-0.24992758,-0.3143375,0.3345022,-0.17239413,-0.108984485,-0.29939014,-0.013011843
usa_26_47,0,usa,-0.23301256,0.23730603,-0.19408369,-0.034527842,-0.19302724,0.04037791,-0.25908002,-0.16672447,0.171604,-0.19364014,0.16361476,-0.14525163,-0.03830316,0.38108474,-0.05813971,0.22996068,0.014045753,-0.07392755,-0.39438605,-0.23392634,0.208525,-0.06069152,-0.0070123747,0.03195651,0.29154176,0.40260923,0.24492535,0.021299906,-0.1740132,0.28482565,-0.34283394,0.48146918,0.0042111054,-0.124947764,0.13177314,0.092409454,-0.072527796,0.15267669,0.06268807,0.29735345,0.29134,0.15867215,-0.3013384,0.0795432,0.065256774,0.00953529,-0.070246816,-0.21131027,0.21872574,-0.43584263,0.16928843,0.10212172,-0.45844203,0.106920876,-0.16010514,-0.0039093196,-0.26643205,-0.082292736,-0.38448274,0.0982575,-0.03752878,-0.15955883,-0.074234575,0.041906375
usa_47_49,0,usa,-0.17113405,0.14100099,-0.18112639,-0.18641561,-0.015747674,-0.11821558,-0.2883421,-0.10640427,0.19896089,-0.27006218,0.27236286,-0.040095378,0.011154726,0.36484158,0.035104208,0.3812305,0.007156998,-0.25614044,-0.47979286,-0.4114899,0.38211495,-0.04260099,-0.17402849,0.06045042,0.28914422,0.63523763,0.3382275,-0.026174873,-0.16639952,0.3412924,-0.50691277,0.39342445,-0.06666993,-0.27025694,-0.01314915,0.1604505,-0.15147386,-0.15391211,0.07774061,0.25091293,0.33130157,-0.017627008,-0.4329641,0.029211368,0.10961058,0.062127903,-0.0980919,-0.2924898,0.2044277,-0.41365436,0.072089344,0.08263575,-0.4762017,-0.014825754,-0.07990329,-0.26473087,-0.1652579,-0.19864488,-0.24363261,0.23060244,-0.0676238,-0.11611657,-0.23139301,0.04711326
usa_47_104,0,usa,-0.4292178,0.3721612,-0.26167643,-0.051135715,-0.047497556,0.3362783,-0.39957938,-0.20097682,-0.10686669,-0.55711335,0.39678016,-0.19834638,-0.3794216,0.6565376,0.24786966,0.31188303,0.16185223,0.25435686,-0.4537853,-0.7315578,0.4452889,0.17487128,-0.4834399,-0.15972942,0.21208778,0.3112049,0.3022579,-0.21471867,-0.44221416,0.5114503,-0.5915126,0.18892846,0.14777473,-0.43644282,0.53418756,0.15579514,-0.19602087,0.58807945,0.08593391,0.18258601,-0.058014788,0.38168013,-0.35440862,0.17140403,0.30073327,0.29748762,0.06339952,-0.024042487,0.4917937,-0.3173827,0.3866315,-0.29108953,-0.859389,0.2919385,-0.61260307,-0.42687726,-0.25712073,-0.22576736,-0.9715841,0.3103156,-0.21895467,-0.1361863,-0.1652501,0.48454025
usa_21_49,0,usa,-0.20367533,0.18029284,-0.26722226,-0.31227636,0.0039264485,0.058654793,-0.4039791,-0.05323646,-0.09080325,-0.4130928,0.20250449,-0.019692995,-0.2307074,0.42643732,0.1357901,0.39387113,-0.0060166717,-0.30501023,-0.4310428,-0.3545197,0.48034108,0.22929153,-0.10226022,0.06654835,0.2754596,0.552277,0.31791824,-0.099653974,-0.22909707,0.30284217,-0.5124843,0.36206022,-0.15134847,-0.3958716,-0.02377154,0.16771196,-0.3568157,-0.0967219,0.051003084,0.16500545,0.24121211,-0.03867376,-0.3863011,0.13497391,0.16157193,0.14720501,0.106757954,-0.16564006,0.27623808,-0.34839153,0.15451843,-0.09153778,-0.52932143,-0.004686184,-0.28875044,-0.36925972,-0.09020939,-0.28990102,-0.33029544,0.32489485,-0.06981065,-0.2382565,-0.26115015,-0.015321307
usa_21_104,0,usa,-0.70533377,0.8256433,-0.66879666,-0.56862825,0.3979581,0.680698,-0.49151632,-0.6348122,-0.27658555,-0.6515932,0.68112403,-0.5962167,-0.7434037,0.8165112,0.44461834,0.7939804,0.49897462,0.48560423,-0.6396314,-1.1467509,0.80179363,0.325367,-0.54163146,-0.39472422,0.58644617,0.112148345,0.65795076,-0.46754956,-0.50511587,0.54671115,-1.139768,-0.06731196,0.69872874,-0.6634993,0.7816388,0.49649626,-0.6271622,0.65508455,-0.12857844,0.76775455,-0.3430361,0.5420626,-0.84663117,0.42330462,0.4682066,0.66025466,0.463206,0.18595019,0.741369,-0.67238855,0.71177244,-0.5624801,-0.7262729,0.5621923,-0.7275182,-0.6652668,-0.48192704,-0.6520219,-0.7196506,0.7571175,-0.60776645,-0.4173915,-0.42529333,0.5806753
usa_26_49,0,usa,-0.34686148,0.21717134,-0.28841013,-0.41295445,0.03290976,-0.09430409,-0.32001382,-0.16418397,0.03471388,-0.30196908,0.17516279,-0.049929876,-0.16109012,0.3355447,0.116531014,0.43108588,0.09319721,-0.30455002,-0.48593986,-0.37675616,0.5221824,0.2617033,-0.11711194,-0.08935865,0.22028512,0.62374836,0.48977402,-0.07802624,-0.23767467,0.30431065,-0.57378095,0.2744563,-0.071735285,-0.36837864,-0.060823746,0.24611339,-0.282569,-0.12340827,0.03542766,0.25518364,0.22343557,-0.06472263,-0.5186622,0.21965188,0.2135289,0.22732717,0.13822237,-0.15395823,0.28491294,-0.39314097,0.09010807,-0.08297946,-0.54590386,-0.057516985,-0.22552836,-0.25731426,-0.2511742,-0.2250509,-0.3341102,0.2895823,-0.11920274,-0.26111275,-0.3784032,0.11502405
usa_26_104,0,usa,-0.5641362,0.66377753,-0.5488871,-0.5894039,0.46905744,0.6365195,-0.44707504,-0.46157914,-0.31568855,-0.75365525,0.5402383,-0.4112637,-0.529627,0.749144,0.27814752,0.63058007,0.49301997,0.26750076,-0.71481943,-0.9329243,0.6566446,0.4975577,-0.3795307,-0.5187322,0.53596264,0.23944764,0.8113049,-0.47722524,-0.65140855,0.6822066,-0.8909227,-0.062426664,0.46669194,-0.57189,0.69136363,0.43355674,-0.51856303,0.5490295,-0.15527019,0.5519249,-0.21816409,0.5972467,-0.756773,0.37468797,0.27027953,0.53555924,0.29173154,-0.10017417,0.6132941,-0.68782866,0.5039865,-0.3420545,-0.82957137,0.34634027,-0.5143774,-0.46579307,-0.45486987,-0.48255506,-0.7202991,0.6261281,-0.4742622,-0.3725835,-0.4479699,0.533225
usa_49_104,0,usa,-0.09439501,-0.023760185,-0.17167175,-0.15818515,-0.06822242,-0.1053678,-0.1897662,-0.026215166,0.12604254,-0.31345242,0.104009695,0.12106478,-0.0036253408,0.25681812,-0.054157615,0.26814446,-0.023252167,-0.5611111,-0.36683354,-0.19327904,0.31668666,-0.057959095,-0.025729202,0.30050606,0.11259469,0.78050536,0.2790013,0.085141875,-0.07087887,0.24743372,-0.46005458,0.4805855,-0.21280947,-0.35227513,-0.15605512,0.053921625,-0.04890265,-0.27734098,0.0762216,0.16292892,0.51717037,-0.20367397,-0.3262099,0.094069965,0.08172395,-0.077202275,-0.023726806,-0.3438997,0.08531137,-0.34001994,0.02981868,0.09413048,-0.41192144,-0.027945139,-0.072834715,-0.2727067,-0.039422072,-0.15112631,-0.24308045,0.24509907,0.00032325834,-0.14234951,-0.17972594,-0.088019386
usa_47_84,0,usa,-0.5917529,0.5411835,-0.7529201,-0.3881206,0.13590463,0.51520777,-0.54571056,-0.46618283,-0.34492457,-0.66891336,0.48848698,-0.5598943,-0.54952556,1.0264686,0.37588665,0.69439936,0.3794131,0.28604597,-0.7702057,-0.87326676,0.62401253,0.46556437,-0.4254433,-0.40016502,0.79255897,0.25455433,0.8041332,-0.504824,-0.55156374,0.792739,-0.8215702,0.1204214,0.46412814,-0.562598,0.60573965,0.44575143,-0.50684786,0.72197556,-0.065950215,0.58829755,0.043488666,0.3971833,-0.89895034,0.29061276,0.3905814,0.42234492,0.2715261,-0.026553392,0.59491175,-0.7568239,0.54156065,-0.34530842,-0.7916019,0.6162113,-0.42120308,-0.73250145,-0.4697968,-0.5697737,-0.73917615,0.58049566,-0.51219976,-0.3567042,-0.49996173,0.40648276
usa_84_104,0,usa,-0.76992464,0.7780596,-0.96433026,-0.73584753,0.4155901,0.5822447,-0.5890663,-0.83709055,-0.5591562,-0.7142771,0.6775659,-0.73963135,-0.67205507,0.9729427,0.5683719,0.8080335,0.70049226,0.41818532,-0.89342785,-1.1126859,0.71409035,0.63123053,-0.3797473,-0.42028648,0.85858387,0.06937808,0.8463671,-0.6367311,-0.67404866,0.8688403,-1.0274901,-0.09661214,0.7073547,-0.71528786,0.7738766,0.58574075,-0.57492757,0.9623306,-0.21926479,0.7458287,-0.3022179,0.60383874,-0.93534327,0.59392095,0.51041627,0.5366626,0.523739,0.2058602,0.7206221,-0.83522904,0.74445117,-0.522929,-1.1341624,0.59748,-0.6433429,-0.68495893,-0.6805153,-0.7701305,-1.0714352,0.7424953,-0.7278691,-0.5835227,-0.5639202,0.5953847
