pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
brazil_72_76,1,brazil,0.6276467,0.7212678,-1.0635431,-0.6182808,-0.42234945,0.7085238,0.6324751,-0.89375275,0.8474783,-0.9153684,-0.5639501,-0.54523444,0.6170563,0.3643997,0.418836,-0.64966387,-0.764821,0.9796561,-0.39879033,0.78102934,0.49899083,-0.832033,1.0017734,0.4586506,-0.7060147,0.75795585,-0.6443073,-0.56727177,-0.4620897,0.41765034,-0.24696434,-0.5002467,-0.74652016,0.8231536,-0.82342786,0.367341,-0.6521357,0.67111635,-0.6679525,0.54140514,0.40233308,-0.9869292,-0.4731763,0.869786,-0.7544929,0.9445088,0.67847806,0.445845,0.56457317,-0.46291777,-0.72973466,0.7492384,0.52285206,0.5661589,-0.7505989,-0.62572,0.41169298,0.8499971,-0.64486414,-0.67087257,0.5238483,-0.5187952,-0.878121,-0.6019474
brazil_50_76,0,brazil,0.17417845,0.4618112,-0.6449942,-0.1431745,-0.055339187,0.33025348,0.20594186,-0.4945847,0.44947043,-0.70412046,-0.38150898,-0.41815314,0.30195034,0.114122964,0.20035486,-0.36158097,-0.45785266,0.3080485,-0.15889159,0.48795623,0.18301281,-0.092600964,0.4984478,0.055783078,-0.35595295,0.5624542,-0.3190117,-0.049748868,-0.43877253,-0.09062592,-0.14490074,-0.2143586,-0.44027704,0.2635749,-0.46447986,0.18807697,-0.70740163,0.3347038,-0.0029985309,0.34711546,-0.06721942,-0.75519145,-0.11567408,0.53741336,-0.4592672,0.41914108,0.17321946,0.09968032,0.20197847,-0.03928595,-0.44038337,0.22258991,0.2575316,0.20886073,-0.5456671,-0.49081394,0.2067116,0.37089944,-0.5962873,-0.33397177,0.19929603,-0.0849539,-0.35137802,-0.04781913
brazil_75_76,1,brazil,0.68573153,0.68146306,-0.7477403,-0.56608725,-0.37531298,0.4279617,0.6693217,-0.7524581,0.90870106,-1.0663681,-0.6741527,-0.6266966,0.83626103,0.46703392,0.46396422,-0.836465,-0.84324765,1.0423104,-0.45820782,0.7667925,0.4043237,-1.0344015,0.9000156,0.4031516,-0.84905547,0.8200728,-0.65193707,-0.41594964,-0.8819838,0.52000576,-0.40054458,-0.6085115,-0.6870867,0.6248394,-0.80900764,0.53625524,-0.73694754,0.54568213,-0.48565015,0.48658624,0.19330004,-0.83896714,-0.554608,0.6887755,-0.64252365,1.0356181,0.678179,0.49523264,0.46277046,-0.57574654,-0.8994411,0.5239302,0.6928449,0.4818721,-0.95602036,-0.7769195,0.60523343,0.52958775,-0.8342769,-0.41711727,0.5080917,-0.33728185,-1.0545564,-0.34841162
brazil_76_78,1,brazil,0.7652925,1.0175372,-0.77782077,-0.7867103,-0.85738546,1.3688055,0.5904073,-1.0118221,0.9926175,-1.1998034,-0.68226,-1.0589238,0.55003136,0.83617514,0.85953325,-1.0111365,-0.9620271,1.3688899,-0.6370555,1.0113243,0.78879374,-0.5160725,1.0583538,0.7904208,-1.22513,0.8175708,-1.0112069,-0.90900415,-0.7069386,0.7001923,-0.70752627,-0.8287098,-0.8843277,0.9123807,-1.156082,1.0029708,-0.9083632,0.67022806,-0.64744806,1.089543,0.81486607,-1.0980462,-0.8230853,1.1269898,-0.8310415,1.143469,1.068108,0.7732861,0.8480115,-0.64361376,-1.2637908,0.79179996,0.86942995,0.68254936,-1.1882125,-0.8771795,0.7875432,0.85040766,-0.9415237,-0.7855178,0.8071296,-0.8661591,-1.1538393,-0.9916473
brazil_76_80,1,brazil,-0.87464213,-0.21226068,0.9275417,0.948399,0.7904315,-0.7215029,-0.27746704,0.6801573,-0.52430624,0.61984074,1.0018748,0.42539948,-0.57859534,-0.7955383,-0.54430413,0.62948734,0.668006,-0.5066573,0.74075633,-0.7008457,-1.0015614,0.8343072,-0.8589215,-0.9485306,0.5391693,-0.7085615,0.61846495,0.8870193,0.5932518,-0.8185374,0.72785366,0.8619035,0.5042618,-0.7706136,0.8157587,-1.0769807,0.72787905,-0.60149294,0.73346955,-0.7516679,-0.88389754,0.2958784,0.7082596,-0.9328186,0.8122587,-0.5678186,-0.8886176,-0.61583424,-0.69325936,0.9298222,0.8471969,-0.76377064,-0.8673964,-0.63383234,0.3817935,0.21753815,-0.74072075,-1.0431981,0.5082256,0.61875075,-0.75375736,1.0747503,0.8435322,1.1815853
brazil_72_78,1,brazil,0.18015346,0.027741235,-0.42602092,0.07991888,0.22491279,-0.120841846,0.19029206,-0.022285186,0.19932094,-0.23608002,0.051527318,0.15472266,0.340316,-0.18546855,0.010075115,0.001982756,-0.005291395,0.3621003,-0.19542938,0.13092025,-0.17048109,-0.21753716,0.1401152,-0.22584121,-0.090196826,0.4640965,0.11468904,0.23813492,-0.1336014,-0.13873091,0.11715164,0.09322438,-0.10101766,0.20234771,-0.070914984,-0.11627118,-0.048225448,-0.047291953,0.1622766,-0.014112823,-0.27181542,-0.51330245,-0.09481789,0.32427785,-0.43478012,0.3386722,-0.027184635,-0.08369219,-0.08239453,-0.026006311,0.050704848,-0.027096696,-0.21439087,-0.09987627,-0.1333062,-0.2681451,-0.16291466,0.07188526,-0.23304173,-0.076684065,-0.13769634,0.29643273,-0.21419348,0.16420922
brazil_50_53,0,brazil,-0.4399478,-0.46497345,0.30501932,0.5788559,0.62486315,-0.6319128,-0.41123593,0.5450479,-0.38812545,0.29416174,0.6111121,0.5581385,-0.12424466,-0.4896489,-0.35095978,0.52710336,0.49138257,-0.33504337,0.3078093,-0.63126236,-0.5802108,0.43006608,-0.51782906,-0.5326588,0.40306917,-0.1350838,0.589531,0.46862298,0.51217765,-0.4606871,0.70177597,0.63634723,0.27547702,-0.4248315,0.5766654,-0.5909406,0.26701498,-0.3732416,0.37926412,-0.39126,-0.4430824,0.29100394,0.42529744,-0.45672223,0.19333181,-0.1708301,-0.464446,-0.47097385,-0.51458406,0.4989152,0.30096623,-0.38963985,-0.6975087,-0.41472805,0.12646948,0.25075755,-0.47602147,-0.754423,0.19472066,0.31513873,-0.47164223,0.73125976,0.30694705,0.8402893
brazil_50_78,0,brazil,0.1494178,0.3966062,0.1279437,0.1347045,0.0797416,0.043701738,0.16922978,-0.046388067,0.4040051,-0.40985802,0.12817696,-0.004478425,0.21702923,0.017943032,-0.13011728,-0.034434088,0.0691418,0.20176835,-0.08720801,0.090691224,-0.066609934,0.0055188686,0.17203316,-0.022612084,-0.1785554,0.20472278,-0.045981348,-0.06496304,-0.10698331,-0.015674822,0.11785877,0.007817693,-0.18485385,0.18180959,-0.08891469,-0.026808798,-0.051674098,0.13643993,-0.06581215,-0.016242392,-0.21362863,-0.16916484,0.16134652,0.079039335,0.020342816,0.5126681,0.1536259,0.052468255,-0.051011078,0.15533867,-0.30034494,0.018173233,0.149687,0.07244374,-0.17587724,-0.18655017,-0.17911026,-0.13890648,-0.16648048,0.02802835,0.13983165,0.22952521,-0.1779262,-0.11899813
brazil_78_80,1,brazil,-0.4469358,-0.13210498,1.070265,0.77394485,0.7373411,-0.8500407,-0.19826774,0.5954853,-0.20849064,0.72749054,0.9595184,0.5157106,-0.38193983,-0.5402977,-0.43876737,0.65393287,0.68893355,-0.69749135,0.41925588,-0.72604537,-0.91913366,0.64797986,-0.8005573,-0.79068154,0.418073,-0.45210123,0.5675426,0.7418147,0.4343481,-0.72512376,0.58160204,0.85702765,0.36960897,-0.64903456,0.7265208,-0.7405621,0.72634137,-0.5351451,0.5800449,-0.7151369,-0.7294222,0.35184893,0.7263627,-0.9107969,1.1652848,-0.35513356,-0.819718,-0.5926783,-0.6397371,0.9049826,0.6842303,-0.62579656,-0.76139534,-0.469868,0.22696266,0.3539499,-0.6896699,-1.1028124,0.3829927,0.58027846,-0.4985377,1.1200505,0.47888613,1.1336246
brazil_17_79,0,brazil,-1.0640752,-0.46918505,1.1043403,1.2267407,1.0742897,-1.0081441,-0.6009943,0.93203884,-0.8290379,0.6083583,0.9698298,0.75448096,-0.8552359,-0.8999196,-0.8978138,0.704638,1.1001201,-0.7973825,0.80014384,-1.111989,-0.9717204,1.0799176,-1.1976651,-1.0319612,0.9266342,-0.83270895,0.95137054,1.1143562,1.0193901,-0.89459014,0.6944327,0.94814575,0.78874046,-0.9682632,0.99170977,-0.7758492,1.1402754,-1.0003504,0.9805704,-0.87573093,-1.094456,0.5058423,1.002797,-1.0721567,0.869332,-1.0673373,-1.1031165,-0.6994223,-0.9044697,1.2574557,0.80983883,-1.0208585,-0.9801661,-0.87732697,0.85647506,0.65675426,-0.88456494,-1.4640934,0.782721,0.98204327,-0.9925811,1.2874123,1.1337935,1.3365517
brazil_1_79,0,brazil,-0.55634844,-0.1737703,0.37815067,0.58767736,0.35235426,-0.47540498,-0.3080615,0.4025443,-0.11480185,0.21343231,0.4108778,0.2590125,-0.2944877,-0.51259196,-0.39214462,0.36443463,0.42227337,-0.45268643,0.37811202,-0.28243244,-0.49036604,0.3043271,-0.45451927,-0.57196903,0.49221048,-0.2593913,0.38335735,0.5411626,0.4208663,-0.559466,0.21113032,0.46844268,0.22002056,-0.46858335,0.44225812,-0.55229694,0.26390582,-0.37242734,0.6252673,-0.31054804,-0.5010394,-0.09149805,0.3851704,-0.38291723,0.18713224,-0.4336309,-0.5068694,-0.34947395,-0.016688727,0.5535675,0.42719918,-0.45100954,-0.42849475,-0.40870613,0.25604564,-0.015087292,-0.52431214,-0.7633893,0.30941597,0.31900716,-0.41445202,0.7745523,0.54392916,0.77854323
brazil_2_79,1,brazil,0.77902377,0.75137466,-1.12453,-0.66892743,-1.0727954,1.0739762,0.38776228,-1.2125524,1.0425878,-0.93869585,-0.698716,-0.8419055,0.30872613,0.9791027,0.8905653,-0.6269565,-1.0720077,1.2243304,-0.49607036,1.190827,0.825957,-0.48375475,1.0067074,0.4370079,-1.1508198,1.0438567,-0.82303876,-0.74229026,-0.6604379,0.6081634,-0.7260098,-0.625916,-0.8683032,0.92332995,-1.1671956,1.1232203,-0.9543102,0.5089417,-0.64691234,1.2017227,0.9118969,-1.3719301,-0.70815545,1.1321719,-0.64030445,1.0365791,0.9306366,0.7706311,1.0496128,-0.46212766,-1.0636241,1.1071075,0.95646155,0.8180045,-0.7886731,-0.65041566,0.7189292,1.0199453,-0.8655181,-0.73459184,1.0720087,-0.92254907,-1.1148547,-0.7978074
brazil_1_17,0,brazil,-0.8504015,-0.38863662,0.9537514,0.98570704,0.7593551,-0.90498453,-0.56181765,0.91762435,-0.41490388,0.4377332,0.88708013,0.4326874,-0.33639112,-0.8537806,-0.8349793,0.76261604,0.7624025,-0.63874966,0.58129144,-0.8073072,-0.86156195,0.54482317,-0.98180574,-0.95243305,0.885282,-0.6805069,0.81718314,0.6499432,0.6290463,-0.6969713,0.8657601,0.835127,0.43739456,-0.59439546,0.87117136,-1.106827,0.4573723,-0.6134583,0.60632324,-0.6800378,-0.7709319,0.3402688,0.53040254,-0.9047737,0.7888112,-0.77078426,-0.8762169,-0.71198595,-0.47117895,0.94184226,0.7314693,-0.8458654,-0.9715605,-0.458625,0.52253896,0.28793573,-0.76477057,-0.94124633,0.399032,0.41005614,-0.664289,0.96891755,0.6945223,1.1167326
brazil_2_17,0,brazil,-0.27639553,-0.30935574,0.33733258,0.4510711,0.3105116,-0.22213686,-0.18626617,0.31110314,-0.005476922,0.014379337,0.4167808,0.15056147,-0.005320795,-0.36176336,-0.28578368,0.27351686,0.36015043,-0.16602966,0.09355682,-0.3555469,-0.48233706,0.19938493,-0.26873818,-0.26175436,0.2957587,-0.2337635,0.3908599,0.3432631,0.1749013,-0.2740716,0.42906913,0.41647387,0.030644592,-0.15436387,0.18121046,-0.50804174,0.27467042,-0.21144821,0.23792022,-0.2328107,-0.4677033,-0.16584176,0.39295924,-0.24412434,0.09820306,0.016128734,-0.17469794,-0.28340703,-0.3917545,0.5009597,0.16496941,-0.31831378,-0.5249549,-0.18530336,0.0993716,0.035020713,-0.37622005,-0.5369414,-0.25596508,0.01924014,-0.25430936,0.38739938,0.2882324,0.5261288
brazil_1_2,0,brazil,-0.60782886,-0.083418876,0.5757867,0.3699464,0.1797548,-0.18497947,-0.51753,0.41177094,-0.2361548,0.12869842,0.52502626,0.14765665,-0.6271235,-0.41774485,-0.36914778,0.20742366,0.35485956,-0.47747606,0.20212823,-0.25193405,-0.47271803,0.26174295,-0.6024781,-0.680278,0.4147212,-0.3568726,0.26982754,0.36340165,0.51666963,-0.46366578,0.21057996,0.6691852,0.1500543,-0.4172408,0.4115625,-0.41684532,0.28134876,-0.4676916,0.65237993,-0.3214779,-0.4643842,0.20629552,0.20521925,-0.37332967,0.23803705,-0.32822227,-0.42754662,-0.24907728,-0.21649393,0.59084505,0.38429683,-0.5606221,-0.36673856,-0.36950263,0.36561233,0.30250597,-0.5545774,-0.82996917,0.35322043,0.4048607,-0.37497813,0.7052571,0.5214831,0.6202608
brazil_71_76,1,brazil,1.1888788,0.46464393,-1.3364261,-1.0481782,-0.85839874,0.86027783,0.61770374,-1.2737544,0.9049547,-0.849702,-0.93862075,-0.82580674,0.8390397,1.0664847,1.070125,-0.86831445,-0.9129682,0.7922036,-0.6561845,1.1894796,0.814033,-0.4557153,1.4633064,0.8479899,-1.0934627,1.3940703,-1.1807345,-0.80747163,-0.9349507,0.3733886,-0.9207052,-1.1281301,-1.0064417,0.9514849,-0.854744,1.5136694,-1.1072438,0.8216222,-0.8706854,1.1326314,1.0860143,-1.2456666,-1.0836095,1.6900647,-0.7284772,1.1283082,1.0550418,0.8203146,1.1192048,-1.3073409,-1.2470026,0.98551947,1.1471335,0.5978309,-1.1521877,-0.94437397,1.1175927,1.3195547,-0.80956745,-0.8108212,0.8517009,-1.0392494,-1.0625589,-0.73088133
