pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
japan_685_881,0,japan,-0.10251371,-0.09270157,-0.210576,0.23194325,0.31022948,-0.29493758,0.10328304,0.10480184,0.19057599,-0.45608476,0.075643726,0.107086405,0.10304913,-0.43215472,-0.1533129,-0.077493645,0.038206317,0.29226387,0.11084867,0.024117507,-0.06518432,-0.144503,-0.10140674,0.061629266,0.080647714,0.12775542,0.21039702,0.23414671,0.049535584,-0.08967771,0.06388703,-0.04651796,-0.042494483,-0.08834542,0.21209797,0.031574093,0.20750889,0.014056288,0.22406289,-0.20804206,-0.3053421,-0.11054395,0.041941542,0.016838484,-0.30237195,0.058217518,-0.29248443,-0.1844524,-0.18654166,-0.0238894,0.18180718,-0.3013687,-0.12001253,-0.27463192,0.06446661,-0.018031113,-0.1737501,-0.25424424,-0.17523447,-0.013628326,-0.07441683,0.22685233,0.11389992,0.054545008
japan_691_881,0,japan,0.12128425,0.0012939982,-0.31799704,-0.29884747,-0.08570664,-0.17132245,0.27636194,-0.04181447,0.69009393,-0.74685156,-0.02994793,-0.15698746,0.4373629,-0.27260262,-0.041158736,-0.10006324,-0.3600013,0.3880995,-0.008439191,0.24903975,0.14850295,-0.40541527,0.304654,0.30869168,-0.17241809,0.20965578,-0.3286839,0.075107574,-0.2926028,0.083320364,-0.044249058,-0.20737764,-0.3493418,0.3112939,-0.069949344,0.034622096,-0.19415903,0.3061636,0.11302195,-0.09577689,-0.21464926,-0.40399063,-0.2136925,0.23447365,-0.5887277,0.58697313,0.014847107,-0.16049878,0.26104373,-0.12595364,-0.06266402,-0.15359727,0.26916128,-0.03926199,-0.14407754,-0.2705268,0.011001095,-0.12982073,-0.48502618,-0.30780664,0.07278085,-0.037497766,-0.12075253,-0.0898604
japan_125_881,0,japan,-0.8943627,-0.90838957,1.1137027,1.2214231,0.69193065,-0.86518276,-0.9637955,0.9771004,-1.0179975,1.1637243,1.0542917,1.0546974,-1.0771277,-0.7800411,-0.8496514,1.2547354,1.2783355,-1.0751475,1.1368102,-1.0608704,-0.99159825,1.2446411,-1.2138337,-0.7206048,0.938064,-0.7901974,0.9290435,0.8821887,1.1516625,-0.75128293,0.8452909,1.1967244,0.8472602,-1.0383251,0.6919824,-0.8815968,0.8568815,-1.0435853,0.8759216,-0.95692396,-0.52910143,1.0166118,0.95335215,-1.071976,1.2013907,-1.1495851,-0.9342249,-0.6227944,-0.8458232,0.75136334,1.125564,-0.94794166,-0.9925612,-0.7614049,1.0764349,1.3007267,-0.9890911,-1.0875452,1.1409241,1.0557407,-0.78368163,0.9169687,0.7336685,1.0100821
japan_881_1228,0,japan,-1.2606825,-0.57093096,1.4618608,1.1789271,0.9384113,-0.8048943,-1.6816663,0.711176,-1.8196021,2.0372968,1.3500395,1.1941121,-1.625215,-0.66967237,-0.93656164,1.3785903,0.97834796,-1.4770523,1.4597079,-0.8258362,-1.1258365,1.3961735,-1.0608974,-0.86300415,1.1789467,-1.0534936,1.04059,1.2430571,1.3918859,-1.081625,0.8946152,1.3440288,1.4267572,-1.5212134,1.2523149,-0.8390002,1.8664052,-1.5365514,0.7895683,-1.1734078,-0.54659647,1.5696421,1.2859484,-1.6665919,1.3224707,-1.8918418,-1.3372096,-0.35904408,-1.5118985,1.6132463,1.790245,-0.9093325,-0.97282356,-1.0462502,1.594543,1.4360245,-0.9698837,-1.0322528,1.9497648,1.7888528,-0.81609905,0.81070054,0.80450445,0.94542396
japan_97_881,0,japan,-0.65501606,-0.96494037,1.3703673,0.8269904,0.46802306,-0.75095725,-1.7284391,0.7494045,-2.1468987,2.0895243,1.5185812,1.2299873,-1.88401,-0.3782079,-0.80550617,1.4832548,1.564095,-1.7305629,1.2742121,-1.1573042,-1.063874,1.4846579,-1.7136817,-0.4191097,1.2534302,-1.5272057,0.81161565,0.9668863,1.7086996,-1.1044487,0.6288616,1.1740618,1.0912085,-1.4259433,0.9806242,-0.68649566,1.5054171,-1.3545337,0.76366377,-0.7418735,-0.40988564,1.0769684,0.8207969,-1.2970517,1.771119,-1.7612073,-1.2899019,-0.47308016,-0.6060821,1.0998719,1.3232456,-0.7987945,-0.131586,-0.40158802,1.2497107,1.6362103,-1.1784441,-1.055697,2.1589086,1.7517647,-0.2830844,0.700602,1.0167955,0.85814714
japan_599_881,0,japan,-1.4154292,-1.6290696,1.3937014,1.3508834,1.0702243,-1.4834596,-1.4373412,1.2151116,-1.588313,1.6060545,1.4832292,1.5556008,-1.5754534,-1.0984373,-1.1271883,1.5830095,1.9055439,-1.6740232,1.5852442,-1.4407194,-1.6077942,1.7005144,-1.7256151,-1.1042147,1.2551885,-1.0988249,1.2967534,1.1662856,1.5039763,-1.1165054,1.198878,1.4302782,1.443132,-1.6252007,1.5378959,-1.109746,1.2543733,-1.4211378,1.1350393,-1.1053714,-0.76287496,1.530819,1.1711053,-1.3554256,1.8145865,-1.3598403,-1.3324269,-1.0205163,-1.0847585,1.0479703,1.4506726,-1.3495884,-1.3858794,-0.96941614,1.4655418,1.4341617,-1.1851627,-1.3336614,1.7707481,1.3542736,-1.0930021,1.5130209,1.1581926,1.5765699
japan_682_881,0,japan,-0.36441493,-0.67709947,0.9653679,0.4612549,0.5996466,-0.23040906,-1.3594053,0.6288609,-1.5524461,1.5958959,0.84400105,1.1413728,-1.9609714,-0.25990263,-0.63404924,0.929729,1.2820252,-2.0093515,1.0198352,-1.0137808,-0.49279577,1.2409775,-1.3618687,-0.3433162,0.766464,-1.3935848,0.617508,0.5707384,1.3491579,-0.4336685,0.44805938,1.1271932,0.9538193,-0.96880406,0.5952719,-0.3109324,0.86251664,-1.2581235,0.433728,-0.92224616,-0.28742093,1.0893528,0.71248096,-1.2331104,1.3384991,-1.4854984,-1.1534016,-0.026792347,-0.61773396,0.8233704,0.9023137,-0.7368795,-0.017565154,-0.3638819,1.1112251,1.5674613,-0.8068341,-1.1318439,1.6692868,1.4278663,-0.3613759,0.6213655,0.95158297,0.39504477
japan_685_691,0,japan,0.52547824,0.5345151,0.27500764,-0.58954835,-0.40091652,0.5027338,-0.036161214,-0.5840775,-0.10157885,0.49016654,-0.66955954,-0.57501405,-0.3271073,0.7415808,0.45050597,-0.7827209,-0.10297184,-0.42305785,-0.21967566,0.42840052,0.330076,-0.7726628,0.24367633,0.9767163,-0.4967869,-0.454818,-0.5577657,-0.40412807,-0.3996549,0.24003612,-0.87505025,-0.77651626,0.056970377,0.06559859,-0.6532008,0.6478393,0.15834036,0.677447,-0.857521,0.36438763,0.6013572,0.74336106,-0.4414531,-0.2261371,0.017268792,-0.49063995,0.21753491,0.5093088,0.44555318,-0.5227831,-0.18081848,0.34943265,1.073769,0.3875099,-0.25932035,-0.44773665,0.6264524,0.06170398,0.20124994,0.1037688,0.20093817,-1.0337181,-0.26257718,-0.81196207
japan_125_685,0,japan,0.8626392,0.57397395,-0.38691807,-1.1629707,-0.65965015,1.3888513,0.702298,-1.154064,0.8927251,-0.10627342,-0.8433914,-1.372313,0.189714,0.9902484,0.8845623,-1.1729524,-0.8755405,-0.16473113,-0.4144626,1.0971602,0.7490077,-0.9171205,1.2684078,1.7406849,-0.9496787,0.45596486,-1.2908505,-1.0644659,-0.7163268,0.63457805,-1.2843915,-0.9042795,-0.46599722,0.6283223,-0.86166745,0.8942338,-0.04006493,1.0596575,-0.83145535,0.60514176,0.7215372,-0.012092374,-0.7923017,0.1479528,-0.46462053,0.36218008,0.52869886,0.76725984,0.8395351,-0.89333487,-0.7188364,0.8042021,1.0600247,0.8434291,-0.80855966,-0.83524644,0.91210675,0.3127103,-0.7409108,-0.5966442,0.7798995,-1.4709536,-0.8652953,-1.3576196
japan_685_1228,0,japan,0.089496985,0.06450081,0.2654519,-0.6778448,-0.118220925,0.30217946,-0.429139,-0.4481866,-0.44651484,1.0128134,-0.61418986,-0.13111672,-0.4978391,0.58478844,0.3508423,-0.3878776,0.122100055,-0.7163372,0.21288449,0.3069108,0.11992093,-0.19429535,0.3057349,0.5263688,-0.23105615,-0.43680602,-0.5685684,-0.36745584,-0.097137205,0.13722213,-0.6009889,-0.30041987,0.45742765,-0.45638752,-0.3730799,0.217504,0.012207732,0.47694093,-0.58759665,0.061556242,0.43668598,1.019053,-0.22865807,-0.38922942,-0.18055609,-0.47439495,0.22885878,0.4562176,-0.0013618916,-0.32318157,0.036041852,0.37138316,0.76377034,0.14569512,0.13331628,0.26850402,0.779946,0.07342528,0.32223204,0.26232108,0.16173628,-0.73171985,-0.059917137,-0.6358154
