pair_key,label,country,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
usa_21_47,0,usa,-0.5742041,-0.7654924,0.7406647,0.46344745,0.7502859,-0.9957256,-0.31923148,0.7885792,-0.1940088,0.27309656,0.5334372,0.42721972,0.05137126,-0.5891456,-0.4524538,0.69485253,0.7033499,-0.31555098,0.40631372,-0.6611842,-0.95442754,0.20428719,-0.7341296,-0.74636054,0.34646,-0.5168965,0.47464734,0.6580436,0.27778465,-0.5974861,0.8660998,0.66067183,0.35912895,-0.47305417,0.6776776,-0.9108188,0.48463187,-0.4133458,0.57773256,-0.6838784,-0.68532234,0.15192057,0.43022925,-0.5389664,0.56181777,-0.23814863,-0.7649364,-0.7742861,-0.51854354,0.6731113,0.5622192,-0.5637573,-0.91918504,-0.3175799,0.23280689,0.1190836,-0.67431843,-0.8101748,0.2545323,0.13136694,-0.6616746,1.057302,0.2877174,1.0160689
usa_26_47,0,usa,-0.86936104,-0.6073588,0.71711624,0.6879321,0.77745116,-0.93837255,-0.4835591,0.9788522,-0.27900988,0.50309956,0.8348587,0.4409387,-0.09854837,-0.67797107,-0.49330097,0.8228056,0.72887516,-0.54723454,0.498939,-0.7777051,-0.77121884,0.36531135,-0.7563393,-0.76959276,0.4938622,-0.6148898,0.5927394,0.70910865,0.4217648,-0.4612289,0.95633644,0.8302267,0.5059998,-0.41891855,0.77004653,-1.090785,0.49032634,-0.47132564,0.5037202,-0.65282893,-0.71767557,0.37504384,0.5117025,-0.75720376,0.64715165,-0.34041342,-0.6372103,-0.6467777,-0.5937055,0.96955264,0.58884406,-0.58233947,-0.86173975,-0.46838573,0.28097004,0.29526013,-0.67457646,-0.9221627,0.26583758,0.19140367,-0.63471675,0.9817639,0.5346602,1.194244
usa_47_49,0,usa,-0.36035296,-0.43448886,0.1576787,0.50143117,0.49253058,-0.65786564,-0.056512505,0.6443889,0.17862952,-0.14685115,0.3587325,0.27057987,0.34523213,-0.4505958,-0.3596484,0.38722855,0.17855576,0.064638644,0.17791994,-0.3045656,-0.500015,0.1309711,-0.36130032,-0.5232743,0.29139128,-0.14724621,0.42488366,0.42706895,0.11456824,-0.27919427,0.5054802,0.37322465,0.09778311,-0.0874452,0.52424514,-0.7265426,0.1570463,-0.2144761,0.32076204,-0.49430653,-0.4434922,-0.042282343,0.23303647,-0.37196854,0.12599498,0.13175118,-0.33309323,-0.49394226,-0.18998489,0.25172296,0.30891258,-0.44451886,-0.6251792,-0.26578826,-0.020889282,-0.1530488,-0.37904656,-0.5771964,-0.067851715,-0.049835972,-0.4246036,0.7693089,0.21263261,0.7863969
usa_47_104,0,usa,0.0039405227,-0.10755466,-0.19075057,-0.014568679,0.27478397,0.1697881,0.16801792,-0.04022398,0.6026127,-0.3328629,0.11481377,-0.099522226,0.3254776,-0.2590303,-0.07103326,-0.010524064,-0.19712868,0.41660047,-0.243076,-0.007265866,-0.12497996,-0.18440795,-0.03174547,-0.049950294,-0.23651594,0.2393796,-0.18996762,0.19752178,-0.5190231,-0.0059486628,0.15902157,0.21510303,-0.19600022,0.28062248,0.056961644,0.03480646,-0.3596925,0.14491768,0.12707353,-0.14471412,-0.2597807,-0.17158455,-0.09020963,0.29113296,-0.47269738,0.63333213,0.09577289,-0.31306532,0.0427052,0.06263341,-0.17319907,0.050326936,-0.1725901,-0.009227209,-0.128773,-0.35563368,-0.086384386,-0.12774546,-0.44832474,-0.25230813,-0.16487747,0.37547925,-0.19158433,0.4127397
usa_21_49,0,usa,0.05325134,0.024450127,-0.5602997,0.020417556,0.093866974,-0.041422248,0.20755377,-0.07596361,0.3308973,-0.72537506,-0.23048535,-0.05414947,0.55347496,-0.22581862,-0.0068013147,-0.16219541,-0.44851065,0.9110624,-0.34825388,0.22509648,0.12997925,-0.2568429,0.35738906,-0.13396025,-0.26619565,0.35008836,-0.01598487,0.06122662,-0.18183696,0.0731581,0.19591558,0.036109254,-0.2307185,0.30250204,-0.1535664,-0.036272764,-0.26280078,0.21660377,0.25163803,-0.006470822,-0.16809757,-0.53051615,-0.204836,0.42779672,-0.8340946,0.51255184,0.1376886,-0.18804166,-0.1254967,-0.31987503,-0.14750129,0.058490105,-0.17067917,0.002233632,-0.23434892,-0.26480478,-0.11305452,0.12386474,-0.53363717,-0.4054176,-0.048032016,0.20770091,-0.19749452,0.15000445
usa_21_104,0,usa,-0.4789396,-0.24870136,0.36824137,0.47495878,0.5822286,-0.68774855,-0.13143934,0.4490219,-0.27313218,0.27868292,0.58344907,0.33543748,-0.22441222,-0.49879453,-0.2806061,0.40015617,0.43647373,-0.31747282,0.32365593,-0.60312533,-0.6431488,0.27956063,-0.57640535,-0.74797875,0.34797263,-0.22224781,0.57724357,0.4541911,0.35997346,-0.52223176,0.63734037,0.67124563,0.22839764,-0.33992267,0.5065023,-0.52124345,0.41012657,-0.48585457,0.46910337,-0.5251587,-0.49081564,0.26915196,0.54317534,-0.5433002,0.47666612,-0.40369892,-0.6829229,-0.4595219,-0.50736105,0.6232328,0.48147368,-0.44634208,-0.63731974,-0.4281517,0.069627285,0.17352766,-0.52097875,-0.7211572,0.14804524,0.26147407,-0.43498728,0.9605201,0.4445765,0.8027108
usa_26_49,0,usa,-0.022460606,0.17519836,-0.49104422,0.11872937,0.079174355,-0.039783627,0.2842305,0.10411079,0.4259788,-0.78533447,-0.073357575,-0.2131311,0.66206056,-0.23937258,-0.07148628,-0.09138607,-0.50435495,0.93961334,-0.15024298,0.18310626,0.10313656,-0.23599708,0.3609259,-0.12669143,-0.14880186,0.4047619,0.08130978,0.09470705,-0.24379316,0.048370764,0.15652353,0.028260894,-0.2920953,0.3137138,-0.12404746,-0.09988788,-0.25844932,0.2655599,0.06081401,-0.042592205,-0.18233505,-0.5875015,-0.1012191,0.43838012,-0.73663366,0.5244794,0.22684677,-0.11648547,-0.14239918,-0.19501442,-0.21226384,-0.1060455,-0.16592419,0.006327614,-0.20021445,-0.41697434,-0.09439921,0.091010764,-0.4723524,-0.3818975,0.026877292,0.20714971,-0.108814746,0.19204511
usa_26_104,0,usa,-0.059508003,0.03314327,-0.15109834,0.07285079,0.23516661,0.0033531263,-0.018771492,0.12186085,0.33513644,-0.2840645,0.18320903,-0.14337504,0.30613166,-0.20160118,-0.10802832,0.20208268,-0.09278309,0.14272103,-0.071425475,0.012092166,-0.034757584,-0.02424325,0.07155173,-0.26482922,-0.013039425,0.13338666,0.055370834,0.15183446,-0.0786654,-0.064541265,0.32226598,0.19838905,-0.14755961,0.20680101,-0.05134587,-0.345792,-0.32289296,0.10493198,-0.036693327,-0.062202428,-0.21557024,-0.532949,0.043003537,0.14818294,-0.21087202,0.28578842,-0.010123216,-0.0949742,-0.06487389,0.32899225,-0.28780288,0.007265471,-0.26810503,-0.1626043,-0.30906862,-0.25789714,-0.14767954,0.07455002,-0.27404943,-0.1996069,0.002823934,0.31622908,-0.089737415,0.36686522
usa_49_104,0,usa,-0.105882645,-0.11645739,-0.30952743,0.26161745,0.2988719,-0.25421578,0.19275612,0.33449534,0.43381682,-0.62677985,0.019695178,0.007778704,0.55980754,-0.28489983,-0.13749705,0.05115461,-0.27362555,0.44954115,-0.12996605,-0.051877465,-0.10692833,-0.12680072,0.19244382,-0.19529334,0.035204004,0.26685297,0.2339521,0.1645032,-0.1718148,-0.028349258,0.24783568,0.08552846,-0.24420908,0.26518273,0.14660744,-0.36926097,-0.05778721,0.12399137,0.20941602,-0.23708783,-0.24852677,-0.3625743,0.012883581,0.14671074,-0.47619468,0.3905463,-0.003993377,-0.26367813,-0.062496558,-0.062205873,-0.04488805,-0.20541134,-0.4001409,-0.13898243,-0.15502745,-0.30669484,-0.14354979,-0.17190069,-0.4233992,-0.40280735,-0.14690042,0.43885532,0.054564584,0.41218153
usa_47_84,0,usa,-0.90905535,-0.7296698,0.769943,0.7295953,0.8407454,-0.9396648,-0.4754864,1.0331995,-0.1057969,0.26287487,0.75338095,0.5041335,-0.17361686,-0.7522517,-0.5880397,0.7108278,0.7165871,-0.32283926,0.46454087,-0.75730336,-0.9772411,0.43295923,-0.7146915,-0.82263047,0.5747571,-0.5170653,0.63436705,0.7414295,0.3790294,-0.65864426,0.9273751,0.7499198,0.5622459,-0.46875626,0.7704405,-0.962525,0.648049,-0.52576494,0.7450658,-0.72122073,-0.8522636,0.41121843,0.59463304,-0.71448314,0.5270269,-0.17572276,-0.7711977,-0.7651854,-0.53148866,0.9312329,0.6483083,-0.77942336,-1.0688295,-0.44993523,0.3158411,0.21009558,-0.75589263,-0.96543026,0.2533548,0.17720704,-0.74017787,1.1242794,0.46610397,1.2318527
