pair_key,label,country
71_76,1,brazil
12_76,0,brazil
75_76,1,brazil
69_75,1,brazil
72_76,1,brazil
69_76,1,brazil
70_76,1,brazil
69_70,1,brazil
64_81,0,brazil
76_77,1,brazil
70_71,1,brazil
1_70,0,brazil
70_82,1,brazil
2_43,0,brazil
43_78,0,brazil
23_43,0,brazil
2_79,1,brazil
74_79,1,brazil
21_79,0,brazil
76_79,1,brazil
2_78,1,brazil
2_77,1,brazil
2_23,0,brazil
2_76,1,brazil
1_2,0,brazil
76_83,1,brazil
77_78,1,brazil
23_78,0,brazil
44_78,0,brazil
78_81,0,brazil
76_78,1,brazil
50_78,0,brazil
23_77,0,brazil
44_77,0,brazil
74_77,1,brazil
50_77,0,brazil
23_44,0,brazil
44_74,0,brazil
74_76,1,brazil
76_81,0,brazil
50_81,0,brazil
2_70,1,brazil
17_70,0,brazil
70_78,1,brazil
70_79,1,brazil
2_17,0,brazil
1_16,0,brazil
17_79,0,brazil
16_248,0,brazil
71_77,1,brazil
71_79,1,brazil
71_74,1,brazil
79_137,0,brazil
71_268,0,brazil
69_71,1,brazil
76_170,0,brazil
79_170,0,brazil
2_69,1,brazil
71_84,1,brazil
71_72,1,brazil
68_71,1,brazil
69_79,1,brazil
76_262,1,brazil
69_262,1,brazil
78_262,1,brazil
71_262,1,brazil
179_1293,0,japan
999_1293,0,japan
1100_1293,0,japan
785_1059,0,japan
179_999,0,japan
179_1100,0,japan
591_999,0,japan
933_999,0,japan
586_999,0,japan
591_933,0,japan
586_591,0,japan
591_1100,0,japan
586_933,0,japan
933_1100,1,japan
586_1100,0,japan
852_1233,0,japan
798_852,0,japan
852_1043,0,japan
852_1413,0,japan
757_852,0,japan
798_1233,0,japan
1043_1233,0,japan
1233_1413,0,japan
625_876,0,japan
876_1043,0,japan
625_899,0,japan
625_1043,0,japan
798_1043,0,japan
798_1413,0,japan
757_798,0,japan
757_899,0,japan
1043_1413,0,japan
131_1592,0,japan
794_876,0,japan
534_794,0,japan
794_1222,1,japan
794_967,0,japan
160_794,1,japan
484_534,0,japan
1700_1730,0,japan
876_1222,0,japan
876_967,0,japan
160_876,0,japan
534_967,0,japan
967_1222,0,japan
160_1222,1,japan
160_967,0,japan
907_1695,0,japan
181_907,0,japan
181_1695,0,japan
729_1695,0,japan
181_729,0,japan
181_765,0,japan
383_1424,0,japan
47_1424,0,japan
30_1424,0,japan
1424_1686,0,japan
1424_1601,0,japan
1424_1562,0,japan
1424_1425,0,japan
1424_1500,0,japan
1424_1430,0,japan
47_383,0,japan
30_383,0,japan
383_1686,0,japan
383_1601,0,japan
383_1562,0,japan
383_1425,0,japan
383_1500,0,japan
383_1430,0,japan
30_47,0,japan
47_1686,0,japan
47_1601,0,japan
47_1562,0,japan
47_1425,0,japan
47_1500,0,japan
47_1430,0,japan
30_1686,0,japan
30_1601,0,japan
30_1562,0,japan
30_1425,0,japan
30_1500,0,japan
30_1430,0,japan
1601_1686,0,japan
1425_1686,0,japan
1430_1686,0,japan
1562_1601,0,japan
1425_1601,0,japan
1500_1601,0,japan
1430_1601,0,japan
1425_1562,0,japan
1500_1562,0,japan
1430_1562,0,japan
1425_1500,0,japan
1425_1430,0,japan
1430_1500,0,japan
1560_1695,0,japan
414_1695,0,japan
316_1695,0,japan
181_1560,0,japan
729_1560,0,japan
414_1560,0,japan
162_1560,0,japan
316_1560,0,japan
181_414,0,japan
181_316,0,japan
414_729,0,japan
389_729,0,japan
162_729,0,japan
316_729,1,japan
316_414,0,japan
599_1283,0,japan
599_718,0,japan
599_685,0,japan
599_1228,0,japan
304_599,0,japan
