pair_key,label,country
72_76,1,brazil
50_76,0,brazil
75_76,1,brazil
76_78,1,brazil
76_80,1,brazil
72_78,1,brazil
50_53,0,brazil
50_78,0,brazil
78_80,1,brazil
17_79,0,brazil
1_79,0,brazil
2_79,1,brazil
1_17,0,brazil
2_17,0,brazil
1_2,0,brazil
71_76,1,brazil
12_76,0,brazil
69_75,1,brazil
69_72,1,brazil
69_76,1,brazil
70_76,1,brazil
69_70,1,brazil
64_81,1,brazil
77_80,1,brazil
76_77,1,brazil
70_71,1,brazil
1_70,0,brazil
70_82,1,brazil
5_81,0,brazil
74_80,1,brazil
74_77,1,brazil
74_78,1,brazil
77_78,1,brazil
26_79,0,brazil
17_149,0,brazil
64_79,1,brazil
67_79,0,brazil
46_67,0,brazil
64_67,0,brazil
2_43,0,brazil
43_78,0,brazil
23_43,0,brazil
78_79,1,brazil
77_79,1,brazil
74_79,1,brazil
21_79,0,brazil
76_79,1,brazil
2_78,1,brazil
2_46,0,brazil
2_77,1,brazil
2_23,0,brazil
2_81,1,brazil
2_12,0,brazil
2_76,1,brazil
2_50,0,brazil
80_83,1,brazil
67_83,0,brazil
81_83,1,brazil
12_83,0,brazil
76_83,1,brazil
23_78,0,brazil
44_78,0,brazil
78_81,1,brazil
12_67,0,brazil
50_67,0,brazil
23_77,0,brazil
44_77,0,brazil
50_77,0,brazil
23_44,0,brazil
23_50,0,brazil
44_74,0,brazil
44_50,0,brazil
74_76,1,brazil
12_81,0,brazil
76_81,1,brazil
50_81,0,brazil
12_50,0,brazil
18_26,0,brazil
1_16,0,brazil
10_16,0,brazil
16_62,0,brazil
16_20,0,brazil
2_16,0,brazil
1_10,0,brazil
1_62,0,brazil
1_20,0,brazil
10_62,0,brazil
10_20,0,brazil
20_62,0,brazil
2_13,1,brazil
2_70,1,brazil
17_70,0,brazil
70_78,1,brazil
70_79,1,brazil
16_17,0,brazil
17_43,0,brazil
16_248,0,brazil
71_77,1,brazil
72_81,1,brazil
50_101,0,brazil
71_79,1,brazil
71_74,1,brazil
79_137,0,brazil
71_268,0,brazil
69_71,1,brazil
81_221,0,brazil
78_262,1,brazil
76_170,0,brazil
79_170,0,brazil
69_79,1,brazil
69_77,1,brazil
2_69,1,brazil
71_84,1,brazil
72_73,1,brazil
71_72,1,brazil
68_71,1,brazil
76_262,1,brazil
69_262,1,brazil
72_262,1,brazil
71_262,1,brazil
69_78,1,brazil
75_83,1,brazil
