pair_key,label,country
21_47,0,usa
26_47,0,usa
47_49,0,usa
47_104,0,usa
21_49,0,usa
21_104,0,usa
26_49,0,usa
26_104,0,usa
49_104,0,usa
47_84,0,usa
84_104,0,usa
73_106,0,usa
92_106,0,usa
3_67,1,usa
12_67,1,usa
43_67,1,usa
3_12,1,usa
3_43,1,usa
12_43,1,usa
73_83,0,usa
22_43,1,usa
43_64,1,usa
43_119,1,usa
22_64,1,usa
22_119,1,usa
64_119,1,usa
43_99,1,usa
64_99,1,usa
8_83,0,usa
83_104,0,usa
8_73,0,usa
8_104,0,usa
73_104,1,usa
39_112,0,usa
110_112,0,usa
33_47,0,usa
12_22,1,usa
12_64,1,usa
12_99,1,usa
22_99,1,usa
10_69,1,usa
58_69,0,usa
10_58,0,usa
73_92,1,usa
92_104,1,usa
10_12,1,usa
10_99,1,usa
32_109,0,usa
73_109,0,usa
32_73,0,usa
10_103,1,usa
10_83,0,usa
30_73,1,usa
47_63,0,usa
12_73,1,usa
12_30,1,usa
55_112,0,usa
45_106,0,usa
45_112,0,usa
106_112,0,usa
40_106,0,usa
12_35,1,usa
12_113,0,usa
35_113,0,usa
73_96,0,usa
12_14,0,usa
14_106,0,usa
12_106,0,usa
8_97,0,usa
97_104,0,usa
73_99,1,usa
22_116,1,usa
43_116,1,usa
64_116,1,usa
6_73,0,usa
39_73,0,usa
8_109,0,usa
104_109,0,usa
35_53,0,usa
36_69,0,usa
36_73,0,usa
69_73,1,usa
15_110,0,usa
15_112,0,usa
15_73,0,usa
78_101,1,usa
8_12,0,usa
12_104,1,usa
12_62,0,usa
8_103,0,usa
40_92,0,usa
104_106,0,usa
3_83,0,usa
3_7,0,usa
3_73,1,usa
3_6,0,usa
12_101,1,usa
99_101,1,usa
26_92,0,usa
46_73,0,usa
11_64,1,usa
11_22,1,usa
11_43,1,usa
8_32,0,usa
43_73,1,usa
30_43,1,usa
99_104,1,usa
73_97,0,usa
6_8,0,usa
40_73,0,usa
21_84,0,usa
6_29,0,usa
29_73,0,usa
39_99,0,usa
15_113,0,usa
10_20,0,usa
73_112,0,usa
42_73,0,usa
73_101,1,usa
47_92,0,usa
14_26,0,usa
3_10,1,usa
3_104,1,usa
43_104,1,usa
40_104,0,usa
99_113,0,usa
47_106,0,usa
10_104,1,usa
12_92,1,usa
43_92,1,usa
92_99,1,usa
94_103,0,usa
14_47,0,usa
61_112,0,usa
99_116,1,usa
36_104,0,usa
20_91,0,usa
15_106,0,usa
12_53,0,usa
3_86,0,usa
15_92,0,usa
112_113,0,usa
67_103,1,usa
3_20,0,usa
3_103,1,usa
20_103,0,usa
25_73,0,usa
0_47,0,usa
64_92,1,usa
38_50,1,usa
64_73,1,usa
60_73,0,usa
60_104,0,usa
3_91,0,usa
61_73,0,usa
64_101,1,usa
10_106,0,usa
87_101,1,usa
10_43,1,usa
10_22,1,usa
10_64,1,usa
17_89,0,usa
73_89,1,usa
10_112,0,usa
10_46,0,usa
15_61,0,usa
61_110,0,usa
19_64,1,usa
10_92,1,usa
53_113,0,usa
53_73,0,usa
84_92,0,usa
3_29,0,usa
58_104,0,usa
69_104,1,usa
87_113,0,usa
12_28,0,usa
28_106,0,usa
97_106,0,usa
26_28,0,usa
28_104,0,usa
28_47,0,usa
103_104,1,usa
73_87,1,usa
53_87,0,usa
12_87,1,usa
10_15,0,usa
28_84,0,usa
92_112,0,usa
3_46,0,usa
28_92,0,usa
35_79,0,usa
53_79,0,usa
38_64,1,usa
60_97,0,usa
77_116,1,usa
89_101,1,usa
79_113,0,usa
12_40,0,usa
64_87,1,usa
12_112,0,usa
69_92,1,usa
40_112,0,usa
12_24,1,usa
24_104,1,usa
15_40,0,usa
12_15,0,usa
64_104,1,usa
73_94,0,usa
26_72,0,usa
104_112,0,usa
73_86,0,usa
53_104,0,usa
60_92,0,usa
28_40,0,usa
28_112,0,usa
69_112,0,usa
3_81,0,usa
27_36,0,usa
40_110,0,usa
6_46,0,usa
92_103,1,usa
6_12,0,usa
