Comparison,Metric,t_statistic,p_value
M4 vs RF (full),test_f1,-0.36119889699362356,0.7362202550351933
M4 vs LR (full),test_f1,8.540572190441003,0.0010316133828193218
M3 vs RF (screens),test_f1,1.2996904976551582,0.2635477956343783
M3 vs LR (screens),test_f1,2.293292405902347,0.08355356734316897
M2 vs RF (screens),test_f1,-3.241089384248007,0.031641311504433355
M2 vs LR (screens),test_f1,-2.1396777120305184,0.09912369770478405
M4 vs RF (full),test_auc,15.657519948800593,9.7171921123594e-05
M4 vs LR (full),test_auc,58.08893383042766,5.259204738853562e-07
M3 vs RF (screens),test_auc,1.3218746747944412,0.25673815630187546
M3 vs LR (screens),test_auc,4.0995382154661435,0.0148586510117565
M2 vs RF (screens),test_auc,-2.6994454217846315,0.05412540976305927
M2 vs LR (screens),test_auc,0.7204894567259299,0.5110809566086657
